Institution,Year,AISHE_CODE,UG_cap,PG_cap,UG_M,UG_F,UG_T,PG_M,PG_F,PG_T,TOTAL_M,TOTAL_F,GRAND_TOTAL
 Himalayan Institute of Medical Sciences  Dehradun,2015,C-10213,500,520,279,321,600,102,88,190,396,419,815
 Himalayan Institute of Medical Sciences  Dehradun,2016,C-10213,500,534,293,357,650,113,81,194,421,448,869
 Himalayan Institute of Medical Sciences  Dehradun,2017,C-10213,550,594,447,614,1061,105,92,197,568,719,1287
 Himalayan Institute of Medical Sciences  Dehradun,2018,C-10213,600,657,518,656,1174,117,110,227,649,774,1423
 Vinayaka Missions Medical College  Pondicherry,2012,C-10215,500,324,334,266,600,48,20,68,391,297,688
 Vinayaka Missions Medical College  Pondicherry,2015,C-10215,500,346,303,297,600,59,16,75,376,321,697
 Vinayaka Missions Medical College  Pondicherry,2016,C-10215,500,365,319,281,600,55,19,74,387,309,696
 Vinayaka Missions Medical College  Pondicherry,2017,C-10215,500,381,246,253,499,45,21,66,306,289,595
 Vinayaka Missions Medical College  Pondicherry,2018,C-10215,500,383,269,231,500,51,21,72,331,263,594
 Aarupadai Veedu Medical College  Pondicherry,2012,C-10217,500,360,313,345,658,52,24,76,373,373,746
 Aarupadai Veedu Medical College  Pondicherry,2014,C-10217,500,371,281,295,576,63,23,86,350,323,673
 Aarupadai Veedu Medical College  Pondicherry,2015,C-10217,500,383,295,348,643,60,21,81,361,375,736
 Aarupadai Veedu Medical College  Pondicherry,2016,C-10217,500,393,255,225,480,62,20,82,323,251,574
 Aarupadai Veedu Medical College  Pondicherry,2017,C-10217,500,399,283,340,623,65,15,80,359,364,723
 Aarupadai Veedu Medical College  Pondicherry,2018,C-10217,500,402,636,722,1358,59,36,95,721,769,1490
 Vinayaka Missions Kirupananda Variyar Medical College  Salem,2012,C-10219,500,426,315,293,608,78,31,109,403,326,729
 Vinayaka Missions Kirupananda Variyar Medical College  Salem,2013,C-10219,500,439,298,312,610,89,48,137,397,362,759
 Vinayaka Missions Kirupananda Variyar Medical College  Salem,2014,C-10219,500,444,294,310,604,97,55,152,398,370,768
 Vinayaka Missions Kirupananda Variyar Medical College  Salem,2015,C-10219,500,451,298,305,603,95,57,152,400,366,766
 Vinayaka Missions Kirupananda Variyar Medical College  Salem,2016,C-10219,500,458,301,296,597,96,49,145,406,347,753
 Vinayaka Missions Kirupananda Variyar Medical College  Salem,2017,C-10219,500,462,283,312,595,95,49,144,385,366,751
 Vinayaka Missions Kirupananda Variyar Medical College  Salem,2018,C-10219,500,471,281,315,596,82,49,131,370,368,738
 CU Shah Medical College  Surendra Nagar,2012,C-1039,500,384,298,176,474,56,22,78,363,204,567
 CU Shah Medical College  Surendra Nagar,2013,C-1039,500,390,266,243,509,60,27,87,346,280,626
 CU Shah Medical College  Surendra Nagar,2014,C-1039,500,394,252,262,514,70,26,96,341,299,640
 CU Shah Medical College  Surendra Nagar,2015,C-1039,500,406,247,252,499,70,26,96,336,289,625
 CU Shah Medical College  Surendra Nagar,2016,C-1039,500,418,255,245,500,76,28,104,349,285,634
 CU Shah Medical College  Surendra Nagar,2017,C-1039,500,426,266,234,500,90,32,122,372,280,652
 CU Shah Medical College  Surendra Nagar,2018,C-1039,500,435,264,236,500,84,34,118,362,281,643
 Indira Gandhi Medical College  Shimla,2013,C-11340,500,520,227,273,500,0,0,0,227,273,500
 Indira Gandhi Medical College  Shimla,2014,C-11340,500,558,227,273,500,0,0,0,227,273,500
 Indira Gandhi Medical College  Shimla,2015,C-11340,500,597,227,273,500,0,0,0,227,273,500
 Indira Gandhi Medical College  Shimla,2016,C-11340,500,637,233,498,731,202,88,290,435,586,1021
 Indira Gandhi Medical College  Shimla,2017,C-11340,500,673,243,437,680,61,164,225,304,601,905
 Indira Gandhi Medical College  Shimla,2018,C-11340,500,706,205,295,500,144,156,300,349,451,800
 Dr. Rajendar Prasad Government Medical College  Tanda  H.P,2012,C-11393,500,368,149,151,300,0,0,0,149,151,300
 Dr. Rajendar Prasad Government Medical College  Tanda  H.P,2013,C-11393,500,392,197,231,428,51,30,81,248,347,595
 Dr. Rajendar Prasad Government Medical College  Tanda  H.P,2016,C-11393,500,438,207,284,491,0,0,0,207,284,491
 Dr. Rajendar Prasad Government Medical College  Tanda  H.P,2017,C-11393,500,502,207,274,481,0,0,0,207,274,481
 Dr. Rajendar Prasad Government Medical College  Tanda  H.P,2018,C-11393,500,559,215,264,479,0,0,0,215,264,479
 Malankara Orthodox Syrian Church Medical College  Kolenchery,2012,C-11594,500,316,107,387,494,3,4,7,110,391,501
 Malankara Orthodox Syrian Church Medical College  Kolenchery,2014,C-11594,500,332,97,402,499,12,11,23,113,414,527
 Malankara Orthodox Syrian Church Medical College  Kolenchery,2015,C-11594,500,337,107,392,499,15,12,27,128,412,540
 Malankara Orthodox Syrian Church Medical College  Kolenchery,2016,C-11594,500,338,107,392,499,22,11,33,135,411,546
 Malankara Orthodox Syrian Church Medical College  Kolenchery,2017,C-11594,500,339,115,385,500,17,19,36,138,412,550
 Malankara Orthodox Syrian Church Medical College  Kolenchery,2018,C-11594,500,339,156,344,500,14,19,33,175,372,547
 Sree Narayana Instt. of Medical Sciences  Chalakka Ernakulam,2012,C-11650,400,300,39,202,241,0,0,0,39,202,241
 Sree Narayana Instt. of Medical Sciences  Chalakka Ernakulam,2013,C-11650,500,300,130,270,400,0,0,0,130,270,400
 Sree Narayana Instt. of Medical Sciences  Chalakka Ernakulam,2014,C-11650,500,302,72,269,341,0,0,0,72,269,341
 Sree Narayana Instt. of Medical Sciences  Chalakka Ernakulam,2015,C-11650,500,304,194,406,600,0,0,0,194,406,600
 Sree Narayana Instt. of Medical Sciences  Chalakka Ernakulam,2016,C-11650,500,306,188,412,600,0,0,0,188,412,600
 Sree Narayana Instt. of Medical Sciences  Chalakka Ernakulam,2017,C-11650,500,306,188,412,600,1,0,1,189,412,601
 Sree Narayana Instt. of Medical Sciences  Chalakka Ernakulam,2018,C-11650,500,306,188,412,600,1,0,1,189,412,601
 Pushpagiri Institute Of Medical Sciences and Research Centre  Tiruvalla,2016,C-11827,500,416,0,0,0,35,48,83,49,59,108
 Pushpagiri Institute Of Medical Sciences and Research Centre  Tiruvalla,2017,C-11827,500,421,142,323,465,35,47,82,187,381,568
 Pushpagiri Institute Of Medical Sciences and Research Centre  Tiruvalla,2018,C-11827,500,432,149,320,469,40,58,98,203,390,593
 Pramukhswami Medical College  Karmsad,2012,C-1215,0,106,282,228,510,66,31,97,375,270,645
 Pramukhswami Medical College  Karmsad,2013,C-1215,100,214,251,252,503,78,38,116,348,309,657
 Pramukhswami Medical College  Karmsad,2014,C-1215,200,319,231,269,500,75,49,124,327,335,662
 Pramukhswami Medical College  Karmsad,2015,C-1215,300,434,216,284,500,73,47,120,313,345,658
 Pramukhswami Medical College  Karmsad,2016,C-1215,400,452,221,278,499,62,55,117,304,349,653
 Pramukhswami Medical College  Karmsad,2017,C-1215,550,517,243,290,533,65,50,115,323,361,684
 Pramukhswami Medical College  Karmsad,2018,C-1215,550,534,266,327,593,53,49,102,337,392,729
 GSVM Medical College  Kanpur,2013,C-12290,950,903,373,358,731,0,0,0,373,358,731
 GSVM Medical College  Kanpur,2014,C-12290,950,903,254,216,470,0,0,0,254,216,470
 GSVM Medical College  Kanpur,2015,C-12290,950,903,460,300,760,0,0,0,460,300,760
 GSVM Medical College  Kanpur,2016,C-12290,950,903,572,360,932,0,0,0,572,360,932
 GSVM Medical College  Kanpur,2017,C-12290,950,908,584,366,950,0,0,0,584,366,950
 Major S D Singh Medical College and Hospital  Fathehgarh  Farrukhabad,2013,C-12395,200,0,126,64,190,0,0,0,126,64,190
 Major S D Singh Medical College and Hospital  Fathehgarh  Farrukhabad,2014,C-12395,100,0,200,90,290,0,0,0,200,90,290
 Major S D Singh Medical College and Hospital  Fathehgarh  Farrukhabad,2015,C-12395,0,0,268,122,390,0,0,0,268,122,390
 Major S D Singh Medical College and Hospital  Fathehgarh  Farrukhabad,2016,C-12395,0,0,268,119,387,0,0,0,268,119,387
 Major S D Singh Medical College and Hospital  Fathehgarh  Farrukhabad,2017,C-12395,0,0,188,81,269,0,0,0,188,81,269
 Rohilkhand Medical College & Hospital  Bareilly,2012,C-13338,750,496,288,208,496,0,0,0,288,208,496
 Rohilkhand Medical College & Hospital  Bareilly,2013,C-13338,750,544,370,275,645,24,10,34,395,285,680
 Rohilkhand Medical College & Hospital  Bareilly,2014,C-13338,750,578,386,284,670,52,28,80,440,312,752
 Rohilkhand Medical College & Hospital  Bareilly,2015,C-13338,750,594,386,285,671,85,38,123,472,324,796
 Rohilkhand Medical College & Hospital  Bareilly,2016,C-13338,750,594,410,311,721,104,49,153,514,362,876
 Shri Ram Murti Smarak Institute of Medical Sciences  Bareilly,2012,C-13448,500,374,247,252,499,20,0,20,267,252,519
 Shri Ram Murti Smarak Institute of Medical Sciences  Bareilly,2013,C-13448,500,416,229,266,495,40,26,66,269,292,561
 Shri Ram Murti Smarak Institute of Medical Sciences  Bareilly,2014,C-13448,500,426,169,231,400,63,49,112,232,280,512
 Shri Ram Murti Smarak Institute of Medical Sciences  Bareilly,2015,C-13448,500,450,220,280,500,85,68,153,305,348,653
 Shri Ram Murti Smarak Institute of Medical Sciences  Bareilly,2016,C-13448,500,474,228,270,498,85,64,149,313,334,647
 Shri Ram Murti Smarak Institute of Medical Sciences  Bareilly,2017,C-13448,500,504,227,273,500,91,68,159,318,341,659
 Shri Ram Murti Smarak Institute of Medical Sciences  Bareilly,2018,C-13448,500,528,224,276,500,83,61,144,307,337,644
 Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College  Amravati,2012,C-13740,500,347,285,182,467,0,0,0,285,182,467
 Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College  Amravati,2013,C-13740,500,375,270,199,469,0,0,0,270,199,469
 Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College  Amravati,2014,C-13740,500,384,262,227,489,0,0,0,262,227,489
 Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College  Amravati,2015,C-13740,500,384,251,213,464,0,0,0,251,213,464
 Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College  Amravati,2016,C-13740,500,384,253,225,478,0,0,0,253,225,478
 Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College  Amravati,2017,C-13740,500,384,254,246,500,30,18,48,284,264,548
 Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College  Amravati,2018,C-13740,500,392,53,47,100,7,6,13,60,53,113
 Postgraduate Institute of Swasthiyog Pratisthan  Miraj,2017,C-13759,0,6,0,0,0,5,1,6,9,1,10
 Postgraduate Institute of Swasthiyog Pratisthan  Miraj,2018,C-13759,0,6,0,0,0,4,1,5,7,1,8
 KJ Somaiyya Medical College & Research Centre  Mumbai,2012,C-13769,250,167,98,152,250,3,2,5,101,154,255
 KJ Somaiyya Medical College & Research Centre  Mumbai,2013,C-13769,250,171,86,164,250,4,2,6,90,166,256
 KJ Somaiyya Medical College & Research Centre  Mumbai,2014,C-13769,250,171,70,180,250,4,4,8,74,184,258
 KJ Somaiyya Medical College & Research Centre  Mumbai,2015,C-13769,250,171,71,179,250,6,3,9,77,182,259
 KJ Somaiyya Medical College & Research Centre  Mumbai,2016,C-13769,250,175,74,176,250,5,4,9,79,180,259
 KJ Somaiyya Medical College & Research Centre  Mumbai,2017,C-13769,250,180,85,165,250,4,5,9,89,170,259
 KJ Somaiyya Medical College & Research Centre  Mumbai,2018,C-13769,250,185,88,162,250,4,6,10,92,168,260
 Institute of Navel Medicine  INHS   Aswini,2013,C-13774,0,81,0,0,0,94,0,94,96,0,96
 Institute of Navel Medicine  INHS   Aswini,2014,C-13774,0,91,0,0,0,95,0,95,97,0,97
 Institute of Navel Medicine  INHS   Aswini,2015,C-13774,0,103,0,0,0,63,30,93,65,30,95
 Institute of Navel Medicine  INHS   Aswini,2016,C-13774,0,115,0,0,0,71,21,92,79,21,100
 Institute of Navel Medicine  INHS   Aswini,2017,C-13774,0,117,0,0,0,92,0,92,94,0,94
 Institute of Navel Medicine  INHS   Aswini,2018,C-13774,0,124,0,0,0,85,14,99,87,14,101
 Smt. Kashibai Navale Medical College and General Hospital Pune,2012,C-13781,500,341,271,218,489,4,6,10,277,228,505
 Smt. Kashibai Navale Medical College and General Hospital Pune,2013,C-13781,500,385,258,263,521,5,11,16,263,275,538
 Smt. Kashibai Navale Medical College and General Hospital Pune,2014,C-13781,500,409,258,263,521,23,21,44,281,284,565
 Smt. Kashibai Navale Medical College and General Hospital Pune,2015,C-13781,500,441,259,299,558,35,30,65,294,332,626
 Smt. Kashibai Navale Medical College and General Hospital Pune,2016,C-13781,500,449,293,344,637,52,39,91,345,385,730
 Smt. Kashibai Navale Medical College and General Hospital Pune,2017,C-13781,500,514,312,363,675,55,37,92,367,401,768
 Smt. Kashibai Navale Medical College and General Hospital Pune,2018,C-13781,550,621,343,379,722,76,63,139,419,442,861
 Seth GS Medical College  Mumbai,2013,C-13798,900,1158,588,452,1040,330,247,577,991,751,1742
 Seth GS Medical College  Mumbai,2014,C-13798,900,1211,80,31,111,39,16,55,119,47,166
 Seth GS Medical College  Mumbai,2017,C-13798,900,1370,726,746,1472,293,352,645,1067,1159,2226
 Seth GS Medical College  Mumbai,2018,C-13798,900,1425,724,740,1464,314,343,657,1087,1142,2229
 Sanjeevan Medical Foundation ENT Post Graduate Training Instt.  Miraj,2017,C-13804,0,3,0,0,0,0,3,3,1,5,6
 Sanjeevan Medical Foundation ENT Post Graduate Training Instt.  Miraj,2018,C-13804,0,3,0,0,0,1,2,3,4,2,6
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2012,C-13807,500,300,245,153,398,0,0,0,245,153,398
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2013,C-13807,500,310,224,175,399,0,0,0,224,175,399
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2014,C-13807,500,320,224,175,399,0,0,0,224,175,399
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2015,C-13807,500,330,234,165,399,0,0,0,234,165,399
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2016,C-13807,500,330,263,186,449,0,0,0,263,186,449
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2017,C-13807,550,380,279,221,500,0,0,0,279,221,500
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2018,C-13807,550,380,274,225,499,0,0,0,274,225,499
 Government Medical College  Aurangabad,2013,C-13824,750,651,139,71,210,0,0,0,139,71,210
 Government Medical College  Aurangabad,2014,C-13824,750,654,109,92,201,0,0,0,109,92,201
 Government Medical College  Aurangabad,2018,C-13824,750,796,321,277,598,135,84,219,468,390,858
 Shri Vasant Rao Naik Govt. Medical College  Yavatmal,2013,C-13827,0,59,44,27,71,0,0,0,44,27,71
 Shri Vasant Rao Naik Govt. Medical College  Yavatmal,2014,C-13827,100,163,97,68,165,0,0,0,97,68,165
 Shri Vasant Rao Naik Govt. Medical College  Yavatmal,2015,C-13827,200,264,105,50,155,0,0,0,105,50,155
 Shri Vasant Rao Naik Govt. Medical College  Yavatmal,2018,C-13827,550,489,343,406,749,46,21,67,389,427,816
 Armed Forces Medical College  Pune,2012,C-13844,700,828,0,0,0,319,0,319,340,0,340
 Armed Forces Medical College  Pune,2013,C-13844,700,831,350,150,500,312,67,379,665,220,885
 Armed Forces Medical College  Pune,2014,C-13844,700,862,350,150,500,351,69,420,703,220,923
 Armed Forces Medical College  Pune,2015,C-13844,700,901,350,150,500,314,68,382,664,218,882
 Armed Forces Medical College  Pune,2016,C-13844,700,937,536,133,669,294,90,384,830,223,1053
 Armed Forces Medical College  Pune,2017,C-13844,700,945,543,124,667,256,77,333,799,201,1000
 Armed Forces Medical College  Pune,2018,C-13844,700,968,0,0,0,287,82,369,287,82,369
 Grant Medical College  Mumbai,2013,C-13853,1000,1020,146,52,198,0,0,0,146,52,198
 Grant Medical College  Mumbai,2014,C-13853,1000,1037,122,86,208,0,0,0,122,86,208
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2013,C-13875,300,180,108,52,160,0,0,0,108,52,160
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2014,C-13875,300,180,129,149,278,0,0,0,129,149,278
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2015,C-13875,300,180,98,131,229,0,0,0,98,131,229
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2016,C-13875,300,180,126,174,300,0,0,0,126,174,300
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2017,C-13875,300,180,127,173,300,0,0,0,127,173,300
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2018,C-13875,300,180,139,161,300,0,0,0,139,161,300
 Sri Bhausaheb Hire Government Medical College  Dhule,2013,C-13880,650,350,360,390,750,0,0,0,360,390,750
 Sri Bhausaheb Hire Government Medical College  Dhule,2014,C-13880,550,250,313,337,650,0,0,0,313,337,650
 Sri Bhausaheb Hire Government Medical College  Dhule,2015,C-13880,450,150,290,310,600,0,0,0,290,310,600
 Sri Bhausaheb Hire Government Medical College  Dhule,2018,C-13880,350,250,247,252,499,0,0,0,247,252,499
 Topiwala National Medical College  Mumbai,2012,C-13881,600,709,444,266,710,237,162,399,710,453,1163
 Topiwala National Medical College  Mumbai,2013,C-13881,600,710,354,351,705,270,176,446,652,553,1205
 Topiwala National Medical College  Mumbai,2014,C-13881,600,729,341,353,694,266,172,438,634,551,1185
 Topiwala National Medical College  Mumbai,2015,C-13881,600,750,318,372,690,255,179,434,606,571,1177
 Topiwala National Medical College  Mumbai,2017,C-13881,600,821,326,399,725,275,198,473,626,625,1251
 Topiwala National Medical College  Mumbai,2018,C-13881,600,865,755,0,755,490,0,490,1285,0,1285
 Government Medical College  Nagpur,2012,C-13885,1000,883,424,376,800,178,0,178,644,376,1020
 Government Medical College  Nagpur,2013,C-13885,1000,888,695,305,1000,140,21,161,870,333,1203
 Government Medical College  Nagpur,2014,C-13885,1000,898,588,405,993,121,52,173,747,475,1222
 Government Medical College  Nagpur,2015,C-13885,1000,908,523,502,1025,131,80,211,689,614,1303
 Government Medical College  Nagpur,2016,C-13885,1000,918,538,564,1102,135,86,221,700,672,1372
 Government Medical College  Nagpur,2017,C-13885,1000,961,520,471,991,127,86,213,671,581,1252
 Government Medical College  Nagpur,2018,C-13885,1000,1012,540,563,1103,155,96,251,727,694,1421
 Terna Medical College  Navi Mumbai,2012,C-13892,500,300,249,195,444,0,0,0,249,195,444
 Terna Medical College  Navi Mumbai,2013,C-13892,500,300,248,222,470,0,0,0,248,222,470
 Terna Medical College  Navi Mumbai,2014,C-13892,500,303,230,263,493,0,0,0,230,263,493
 Terna Medical College  Navi Mumbai,2015,C-13892,500,306,183,294,477,0,0,0,183,294,477
 Terna Medical College  Navi Mumbai,2016,C-13892,500,309,227,286,513,0,0,0,227,286,513
 Terna Medical College  Navi Mumbai,2017,C-13892,500,309,239,331,570,0,0,0,239,331,570
 Terna Medical College  Navi Mumbai,2018,C-13892,500,309,200,285,485,0,0,0,200,285,485
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2012,C-13904,500,643,208,165,373,195,102,297,430,287,717
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2013,C-13904,500,648,194,161,355,163,172,335,370,355,725
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2014,C-13904,500,651,182,166,348,163,172,335,345,366,711
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2015,C-13904,500,654,227,200,427,208,184,392,448,399,847
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2018,C-13904,550,959,280,220,500,198,206,404,503,454,957
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2012,C-13909,0,37,0,0,0,6,0,6,6,0,6
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2013,C-13909,0,18,0,0,0,12,0,12,12,0,12
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2014,C-13909,0,18,0,0,0,17,1,18,17,1,18
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2015,C-13909,0,18,0,0,0,11,1,12,11,1,12
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2016,C-13909,0,18,0,0,0,5,1,6,5,1,6
 N. K. P. Salve Instt. of Medical Sciences and Research Centre and Lata Mangeshkar Hospital  Nagpur,2013,C-13914,750,619,87,58,145,0,0,0,87,58,145
 N. K. P. Salve Instt. of Medical Sciences and Research Centre and Lata Mangeshkar Hospital  Nagpur,2014,C-13914,750,639,83,72,155,0,0,0,83,72,155
 SRTR Medical College  Ambajogai,2013,C-13930,50,155,52,23,75,0,0,0,52,23,75
 SRTR Medical College  Ambajogai,2014,C-13930,100,205,87,78,165,0,0,0,87,78,165
 SRTR Medical College  Ambajogai,2015,C-13930,150,257,92,58,150,0,0,0,92,58,150
 SRTR Medical College  Ambajogai,2018,C-13930,350,394,244,255,499,42,47,89,286,302,588
 Government Medical College  Akola,2013,C-13931,100,112,309,251,560,0,0,0,309,251,560
 Government Medical College  Akola,2014,C-13931,200,210,280,254,534,0,0,0,280,254,534
 Indira Gandhi Medical College & Hospital  Nagpur,2012,C-13941,0,153,49,51,100,0,0,0,49,51,100
 Indira Gandhi Medical College & Hospital  Nagpur,2013,C-13941,100,253,0,0,0,100,55,155,110,61,171
 Indira Gandhi Medical College & Hospital  Nagpur,2014,C-13941,200,356,0,0,0,96,62,158,107,65,172
 Indira Gandhi Medical College & Hospital  Nagpur,2016,C-13941,400,471,0,0,0,78,64,142,89,69,158
 Indira Gandhi Medical College & Hospital  Nagpur,2017,C-13941,550,553,0,0,0,80,63,143,91,68,159
 Indira Gandhi Medical College & Hospital  Nagpur,2018,C-13941,600,637,0,0,0,108,60,168,117,68,185
 ACPM Medical College  Dhule,2013,C-13964,0,24,239,236,475,0,0,0,239,236,475
 ACPM Medical College  Dhule,2014,C-13964,0,24,254,230,484,0,0,0,254,230,484
 ACPM Medical College  Dhule,2015,C-13964,0,41,334,226,560,0,0,0,334,226,560
 ACPM Medical College  Dhule,2017,C-13964,0,75,0,0,0,0,0,0,0,0,0
 ACPM Medical College  Dhule,2018,C-13964,0,76,274,116,390,42,15,57,319,133,452
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2013,C-13968,100,166,253,247,500,14,9,23,267,256,523
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2014,C-13968,200,276,248,252,500,4,8,12,254,262,516
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2015,C-13968,300,384,257,293,550,13,6,19,270,301,571
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2016,C-13968,400,390,277,311,588,15,7,22,294,322,616
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2017,C-13968,550,440,259,341,600,11,7,18,273,352,625
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2018,C-13968,550,443,259,341,600,12,4,16,276,351,627
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2012,C-13985,0,87,123,127,250,54,28,82,179,157,336
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2013,C-13985,50,139,120,130,250,57,25,82,179,157,336
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2014,C-13985,100,191,147,153,300,60,20,80,210,174,384
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2015,C-13985,150,247,176,174,350,50,26,76,229,201,430
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2016,C-13985,200,254,202,198,400,43,30,73,249,229,478
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2017,C-13985,300,335,227,223,450,35,36,71,265,261,526
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2018,C-13985,350,414,255,245,500,61,46,107,318,297,615
 Maharashtra Institute of Medical  Sciences & Research  Latur,2012,C-14002,500,342,284,230,514,0,0,0,284,230,514
 Maharashtra Institute of Medical  Sciences & Research  Latur,2013,C-14002,500,355,284,230,514,0,0,0,284,230,514
 Maharashtra Institute of Medical  Sciences & Research  Latur,2014,C-14002,500,359,258,207,465,0,0,0,258,207,465
 Maharashtra Institute of Medical  Sciences & Research  Latur,2015,C-14002,500,366,284,254,538,0,0,0,284,254,538
 Maharashtra Institute of Medical  Sciences & Research  Latur,2016,C-14002,500,374,248,265,513,0,0,0,248,265,513
 Maharashtra Institute of Medical  Sciences & Research  Latur,2017,C-14002,550,432,264,297,561,0,0,0,264,297,561
 Maharashtra Institute of Medical  Sciences & Research  Latur,2018,C-14002,600,486,302,317,619,0,0,0,302,317,619
 Government Medical College  Latur,2012,C-14007,500,400,181,171,352,41,16,57,236,255,491
 Government Medical College  Latur,2013,C-14007,500,412,242,190,432,59,28,87,309,281,590
 Government Medical College  Latur,2014,C-14007,500,414,215,230,445,61,27,88,288,315,603
 Government Medical College  Latur,2015,C-14007,500,414,275,323,598,63,24,87,356,420,776
 Government Medical College  Latur,2018,C-14007,600,556,0,0,0,0,0,0,0,0,0
 B. J.  Govt. Medical College  Pune,2014,C-14010,1000,927,0,0,0,0,0,0,0,0,0
 ESI-PGIMSR ESI-Hospital Andheri(E) Mumbai,2017,C-14012,0,56,0,0,0,15,15,30,15,15,30
