Institution,Year,AISHE_CODE,UG_cap,PG_cap,UG_M,UG_F,UG_T,PG_M,PG_F,PG_T,TOTAL_M,TOTAL_F,GRAND_TOTAL
 Acharya Shri Chander College of Medical Sciences  Jammu,2015,C-22936,500,318,296,204,500,28,26,54,324,230,554
 Acharya Shri Chander College of Medical Sciences  Jammu,2016,C-22936,500,336,304,196,500,29,25,54,333,221,554
 Acharya Shri Chander College of Medical Sciences  Jammu,2017,C-22936,500,354,302,198,500,23,31,54,325,229,554
 Acharya Shri Chander College of Medical Sciences  Jammu,2018,C-22936,500,354,318,182,500,21,33,54,339,215,554
 Jawaharlal Nehru Medical College  Belgaum,2012,C-24503,1000,890,437,436,873,245,128,373,743,615,1358
 Jawaharlal Nehru Medical College  Belgaum,2013,C-24503,1000,907,455,503,958,263,128,391,791,679,1470
 Jawaharlal Nehru Medical College  Belgaum,2014,C-24503,1000,920,570,602,1172,282,146,428,941,808,1749
 Jawaharlal Nehru Medical College  Belgaum,2015,C-24503,1000,929,498,530,1028,281,154,435,843,738,1581
 Jawaharlal Nehru Medical College  Belgaum,2016,C-24503,1000,930,543,578,1121,255,156,411,873,781,1654
 Jawaharlal Nehru Medical College  Belgaum,2017,C-24503,1000,930,630,726,1356,245,190,435,933,978,1911
 Jawaharlal Nehru Medical College  Belgaum,2018,C-24503,1000,955,673,770,1443,213,215,428,938,1061,1999
 Shri Guru Ram Rai Institute of Medical & Health Sciences  Dehradun,2018,C-24631,550,546,374,276,650,59,40,99,433,316,749
 Silchar Medical College  Silchar,2016,C-26432,500,527,0,0,0,3249,2216,5465,3249,2216,5465
 Silchar Medical College  Silchar,2017,C-26432,500,565,0,0,0,43,12,55,43,12,55
 Muzaffarnagar Medical College  Muzaffarnagar,2017,C-28536,550,493,459,300,759,32,38,70,491,338,829
 Muzaffarnagar Medical College  Muzaffarnagar,2018,C-28536,600,580,434,315,749,38,36,74,472,351,823
 Sri Guru Ram Das Institute of Medical Sciences and Research  Sri Amritsar,2012,C-29146,0,138,1714,3147,4861,64,55,119,1778,3202,4980
 Sri Guru Ram Das Institute of Medical Sciences and Research  Sri Amritsar,2013,C-29146,100,238,2835,3965,6800,53,45,98,2888,4010,6898
 Sri Guru Ram Das Institute of Medical Sciences and Research  Sri Amritsar,2014,C-29146,200,346,2950,3850,6800,60,59,119,3010,3909,6919
 Sri Guru Ram Das Institute of Medical Sciences and Research  Sri Amritsar,2015,C-29146,300,464,3207,4493,7700,68,55,123,3275,4548,7823
 Sri Guru Ram Das Institute of Medical Sciences and Research  Sri Amritsar,2016,C-29146,400,493,3038,4462,7500,72,55,127,3110,4517,7627
 Sri Guru Ram Das Institute of Medical Sciences and Research  Sri Amritsar,2017,C-29146,550,570,2927,4973,7900,76,70,146,3003,5043,8046
 Netaji Subhas National Instt. Of Sports Medicine  Patiala,2012,C-29157,0,0,0,0,0,0,0,0,7,0,7
 Netaji Subhas National Instt. Of Sports Medicine  Patiala,2013,C-29157,0,0,0,0,0,0,0,0,5,1,6
 Netaji Subhas National Instt. Of Sports Medicine  Patiala,2014,C-29157,0,0,0,0,0,0,0,0,3,1,4
 Netaji Subhas National Instt. Of Sports Medicine  Patiala,2015,C-29157,0,0,0,0,0,0,0,0,6,1,7
 Netaji Subhas National Instt. Of Sports Medicine  Patiala,2016,C-29157,0,0,0,0,0,0,0,0,5,1,6
 Netaji Subhas National Instt. Of Sports Medicine  Patiala,2017,C-29157,0,0,0,0,0,0,0,0,0,0,0
 Gian Sagar Medical College & Hospital  Patiala,2012,C-29185,450,205,212,283,495,0,0,0,212,283,495
 Gian Sagar Medical College & Hospital  Patiala,2013,C-29185,300,39,201,295,496,0,0,0,201,295,496
 Gian Sagar Medical College & Hospital  Patiala,2014,C-29185,150,43,169,307,476,0,0,0,169,307,476
 Gian Sagar Medical College & Hospital  Patiala,2015,C-29185,0,47,180,305,485,0,0,0,180,305,485
 Gian Sagar Medical College & Hospital  Patiala,2016,C-29185,0,51,169,307,476,0,0,0,169,307,476
 Government Medical College  Patiala,2014,C-29191,750,795,291,430,721,140,172,312,433,606,1039
 Government Medical College  Patiala,2015,C-29191,750,795,350,441,791,138,173,311,491,622,1113
 Government Medical College  Patiala,2016,C-29191,750,802,386,463,849,138,183,321,528,653,1181
 Government Medical College  Patiala,2017,C-29191,800,868,427,433,860,141,173,314,574,612,1186
 Government Medical College  Patiala,2018,C-29191,850,966,466,460,926,145,171,316,664,640,1304
 Government Medical College  Amritsar,2014,C-29193,750,843,22,31,53,1,0,1,23,31,54
 Government Medical College  Amritsar,2015,C-29193,750,843,0,1,1,1,0,1,1,1,2
 Government Medical College  Amritsar,2016,C-29193,750,843,0,1,1,1,0,1,1,1,2
 Christian Medical College  Ludhiana,2016,C-29209,375,430,169,256,425,88,79,167,279,351,630
 Christian Medical College  Ludhiana,2017,C-29209,375,438,184,266,450,102,80,182,311,368,679
 Christian Medical College  Ludhiana,2018,C-29209,375,439,195,258,453,89,75,164,299,359,658
 Guru Govind Singh Medical College  Faridkot,2013,C-29238,500,412,150,188,338,27,24,51,177,212,389
 Guru Govind Singh Medical College  Faridkot,2015,C-29238,500,446,249,295,544,41,58,99,290,353,643
 Guru Govind Singh Medical College  Faridkot,2016,C-29238,500,449,289,341,630,43,67,110,332,408,740
 Guru Govind Singh Medical College  Faridkot,2017,C-29238,500,503,344,314,658,48,63,111,392,377,769
 Dayanand Medical College & Hospital  Ludhiana,2013,C-29255,70,276,192,228,420,112,76,188,315,320,635
 Dayanand Medical College & Hospital  Ludhiana,2014,C-29255,140,366,182,238,420,127,89,216,320,346,666
 Dayanand Medical College & Hospital  Ludhiana,2015,C-29255,210,454,197,223,420,133,90,223,343,330,673
 Dayanand Medical College & Hospital  Ludhiana,2016,C-29255,280,468,195,225,420,135,93,228,343,335,678
 Dayanand Medical College & Hospital  Ludhiana,2017,C-29255,380,503,207,235,442,136,94,230,355,345,700
 Dayanand Medical College & Hospital  Ludhiana,2018,C-29255,410,541,224,249,473,124,97,221,359,361,720
 Government Medical College  Chandigarh,2013,C-29442,500,424,135,149,284,23,45,68,158,194,352
 Government Medical College  Chandigarh,2014,C-29442,500,449,103,125,228,22,43,65,125,168,293
 Government Medical College  Chandigarh,2015,C-29442,500,470,125,133,258,36,59,95,161,192,353
 Government Medical College  Chandigarh,2016,C-29442,500,506,164,154,318,48,63,111,212,217,429
 Government Medical College  Chandigarh,2017,C-29442,500,570,210,169,379,70,84,154,280,253,533
 Government Medical College  Chandigarh,2018,C-29442,500,649,241,199,440,84,125,209,325,324,649
 Katihar Medical College  Katihar,2012,C-29573,0,51,33,27,60,31,12,43,68,42,110
 Katihar Medical College  Katihar,2013,C-29573,60,112,48,52,100,19,20,39,70,76,146
 Katihar Medical College  Katihar,2014,C-29573,120,174,45,55,100,20,9,29,68,67,135
 Katihar Medical College  Katihar,2015,C-29573,180,256,49,51,100,22,11,33,74,65,139
 Katihar Medical College  Katihar,2016,C-29573,240,280,53,47,100,21,12,33,79,60,139
 Katihar Medical College  Katihar,2017,C-29573,340,349,36,64,100,21,15,36,61,81,142
 Katihar Medical College  Katihar,2018,C-29573,380,404,56,44,100,6,12,18,64,57,121
 Index Medical College Hospital & Research Centre Indore,2012,C-29653,750,492,112,38,150,9,5,14,121,43,164
 Index Medical College Hospital & Research Centre Indore,2013,C-29653,750,501,106,44,150,10,5,15,116,49,165
 Index Medical College Hospital & Research Centre Indore,2014,C-29653,750,558,279,174,453,15,15,30,294,189,483
 Index Medical College Hospital & Research Centre Indore,2015,C-29653,750,615,343,219,562,57,29,86,400,248,648
 Index Medical College Hospital & Research Centre Indore,2016,C-29653,750,672,35,0,35,129,42,171,164,42,206
 Index Medical College Hospital & Research Centre Indore,2017,C-29653,750,672,451,262,713,118,40,158,569,302,871
 Index Medical College Hospital & Research Centre Indore,2018,C-29653,750,672,465,250,715,115,45,160,580,295,875
 M G M Medical College  Indore,2012,C-29699,0,77,91,46,137,49,18,67,160,93,253
 M G M Medical College  Indore,2013,C-29699,140,226,94,46,140,53,14,67,166,90,256
 M G M Medical College  Indore,2014,C-29699,280,375,94,46,140,53,14,67,166,90,256
 M G M Medical College  Indore,2015,C-29699,420,519,65,48,113,48,29,77,135,102,237
 M G M Medical College  Indore,2016,C-29699,560,548,98,52,150,48,32,80,170,109,279
 M G M Medical College  Indore,2017,C-29699,710,608,361,238,599,154,80,234,565,365,930
 M G M Medical College  Indore,2018,C-29699,720,709,361,238,599,153,78,231,564,363,927
 Shadan Institute of Medical Sciences Research Centre and Teaching Hospital  Peerancheru,2012,C-30337,750,520,51,99,150,15,7,22,66,106,172
 Shadan Institute of Medical Sciences Research Centre and Teaching Hospital  Peerancheru,2013,C-30337,750,559,51,99,150,22,15,37,73,114,187
 Shadan Institute of Medical Sciences Research Centre and Teaching Hospital  Peerancheru,2016,C-30337,750,563,36,114,150,23,23,46,59,137,196
 Shadan Institute of Medical Sciences Research Centre and Teaching Hospital  Peerancheru,2017,C-30337,750,561,55,95,150,23,20,43,78,115,193
 Shadan Institute of Medical Sciences Research Centre and Teaching Hospital  Peerancheru,2018,C-30337,750,575,51,99,150,19,21,40,70,120,190
 Kurnool Medical College  Kurnool,2015,C-30373,1000,822,361,466,827,0,0,0,361,466,827
 Kurnool Medical College  Kurnool,2016,C-30373,1000,854,371,502,873,0,0,0,371,502,873
 Kurnool Medical College  Kurnool,2017,C-30373,1000,898,395,494,889,0,0,0,395,494,889
 Kurnool Medical College  Kurnool,2018,C-30373,1000,953,433,507,940,0,0,0,433,507,940
 P E S Institute Of Medical Sciences and Research  Kuppam,2016,C-30394,750,648,336,342,678,87,69,156,423,411,834
 P E S Institute Of Medical Sciences and Research  Kuppam,2017,C-30394,750,663,321,382,703,93,79,172,414,461,875
 P E S Institute Of Medical Sciences and Research  Kuppam,2018,C-30394,750,684,331,384,715,98,75,173,429,459,888
 Government Medical College  Ananthapuram,2015,C-30409,500,304,206,294,500,1,1,2,207,295,502
 Government Medical College  Ananthapuram,2016,C-30409,500,306,203,296,499,1,1,2,204,297,501
 Government Medical College  Ananthapuram,2017,C-30409,500,310,210,289,499,1,2,3,211,291,502
 Government Medical College  Ananthapuram,2018,C-30409,500,314,211,288,499,1,2,3,212,290,502
 Mediciti Institute Of Medical Sciences  Ghanpur,2013,C-30422,100,240,187,463,650,55,71,126,242,534,776
 Mediciti Institute Of Medical Sciences  Ghanpur,2015,C-30422,300,446,179,437,616,44,79,123,223,516,739
 Mediciti Institute Of Medical Sciences  Ghanpur,2016,C-30422,400,448,179,437,616,45,78,123,224,515,739
 Mediciti Institute Of Medical Sciences  Ghanpur,2017,C-30422,550,500,199,451,650,45,91,136,244,542,786
 Mediciti Institute Of Medical Sciences  Ghanpur,2018,C-30422,550,506,199,451,650,43,83,126,242,534,776
 Maharajah Institute of Medical Sciences  Vizianagaram,2015,C-30446,500,423,0,0,0,0,0,0,0,0,0
 Maharajah Institute of Medical Sciences  Vizianagaram,2016,C-30446,500,436,30,70,100,22,18,40,57,91,148
 Maharajah Institute of Medical Sciences  Vizianagaram,2018,C-30446,600,553,307,518,825,102,29,131,421,551,972
 NRI Medical College  Guntur,2018,C-30450,750,699,174,276,450,0,0,0,174,276,450
 Rajiv Gandhi Institute of Medical Sciences  Srikakulam,2015,C-30456,500,309,167,333,500,0,0,0,167,333,500
 Rajiv Gandhi Institute of Medical Sciences  Srikakulam,2016,C-30456,500,309,161,339,500,0,0,0,161,339,500
 Rajiv Gandhi Institute of Medical Sciences  Srikakulam,2017,C-30456,500,309,168,332,500,0,0,0,168,332,500
 Rajiv Gandhi Institute of Medical Sciences  Srikakulam,2018,C-30456,500,309,156,344,500,0,0,0,156,344,500
 Chalmeda Anand Rao Insttitute Of  Medical Sciences  Karimnagar,2017,C-30472,750,700,317,583,900,0,0,0,317,583,900
 Chalmeda Anand Rao Insttitute Of  Medical Sciences  Karimnagar,2018,C-30472,750,720,332,568,900,0,0,0,332,568,900
 Great Eastern Medical School and Hospital Srikakulam,2016,C-30473,500,300,133,167,300,0,0,0,133,167,300
 Great Eastern Medical School and Hospital Srikakulam,2017,C-30473,500,328,169,230,399,0,0,0,169,230,399
 Great Eastern Medical School and Hospital Srikakulam,2018,C-30473,550,406,172,234,406,0,0,0,172,234,406
 Guntur Medical College  Guntur,2016,C-30480,600,675,365,535,900,80,35,115,481,588,1069
 GSL Medical College  Rajahmundry,2013,C-30524,450,308,264,236,500,30,24,54,294,260,554
 GSL Medical College  Rajahmundry,2015,C-30524,450,623,304,346,650,91,82,173,395,428,823
 GSL Medical College  Rajahmundry,2016,C-30524,600,630,202,502,704,93,89,182,295,591,886
 GSL Medical College  Rajahmundry,2017,C-30524,800,688,342,508,850,95,90,185,437,598,1035
 GSL Medical College  Rajahmundry,2018,C-30524,850,779,386,514,900,92,91,183,478,605,1083
 Government Siddhartha Medical College  Vijaywada,2016,C-30544,400,461,212,319,531,68,49,117,280,368,648
 MNR Medical College & Hospital  Sangareddy,2014,C-30619,500,420,220,279,499,52,43,95,274,324,598
 MNR Medical College & Hospital  Sangareddy,2015,C-30619,500,443,242,257,499,64,41,105,310,298,608
 MNR Medical College & Hospital  Sangareddy,2016,C-30619,500,466,228,271,499,88,49,137,320,320,640
 MNR Medical College & Hospital  Sangareddy,2017,C-30619,500,471,229,271,500,93,63,156,325,335,660
 MNR Medical College & Hospital  Sangareddy,2018,C-30619,500,483,4,4,8,31,13,44,41,22,63
 Dr. VRK Womens Medical College  Aziznagar,2012,C-30628,500,300,0,100,100,0,0,0,0,100,100
 Dr. VRK Womens Medical College  Aziznagar,2013,C-30628,500,300,0,100,100,0,0,0,0,100,100
 Dr. VRK Womens Medical College  Aziznagar,2017,C-30628,500,300,0,100,100,0,0,0,0,100,100
 Dr. VRK Womens Medical College  Aziznagar,2018,C-30628,500,300,0,100,100,0,0,0,0,100,100
 S V S Medical College  Mehboobnagar,2015,C-30671,300,447,194,399,593,77,67,144,290,481,771
 S V S Medical College  Mehboobnagar,2016,C-30671,400,454,194,399,593,78,66,144,290,480,770
 S V S Medical College  Mehboobnagar,2018,C-30671,550,523,0,0,0,75,70,145,83,95,178
 Kamineni Institute of Medical Sciences  Narketpally,2016,C-30689,450,654,0,231,231,0,6,6,0,237,237
 Kamineni Institute of Medical Sciences  Narketpally,2017,C-30689,600,674,0,154,154,0,6,6,0,160,160
 Kamineni Institute of Medical Sciences  Narketpally,2018,C-30689,800,738,0,243,243,0,17,17,0,260,260
 Dr. P.S.I. Medical College   Chinoutpalli,2015,C-30694,750,643,245,505,750,77,101,178,337,623,960
 Dr. P.S.I. Medical College   Chinoutpalli,2016,C-30694,750,654,258,492,750,66,109,175,340,615,955
 Dr. P.S.I. Medical College   Chinoutpalli,2017,C-30694,750,667,261,489,750,68,109,177,344,615,959
 Dr. P.S.I. Medical College   Chinoutpalli,2018,C-30694,750,688,276,471,747,62,76,138,349,558,907
 Narayana Medical College  Nellore,2014,C-30698,300,618,315,429,744,190,108,298,549,555,1104
 Narayana Medical College  Nellore,2015,C-30698,450,795,360,482,842,179,107,286,589,605,1194
 Narayana Medical College  Nellore,2016,C-30698,600,826,394,528,922,159,112,271,604,652,1256
 Narayana Medical College  Nellore,2017,C-30698,850,964,448,548,996,159,110,269,655,675,1330
 Narayana Medical College  Nellore,2018,C-30698,950,1107,504,591,1095,134,128,262,681,733,1414
 Maharaja Agrasen Medical College  Agroha,2013,C-30714,500,308,127,122,249,0,0,0,127,122,249
 Maharaja Agrasen Medical College  Agroha,2014,C-30714,500,316,149,96,245,8,2,10,157,98,255
 Maharaja Agrasen Medical College  Agroha,2016,C-30714,450,295,152,95,247,12,2,14,164,97,261
 Maharaja Agrasen Medical College  Agroha,2017,C-30714,450,312,150,96,246,12,6,18,162,102,264
 Maharaja Agrasen Medical College  Agroha,2018,C-30714,450,325,57,43,100,15,10,25,72,53,125
 Pt. B D Sharma Postgraduate Institute of Medical Sciences  Rohtak (Haryana),2016,C-30767,750,980,634,510,1144,243,162,405,940,698,1638
 Pt. B D Sharma Postgraduate Institute of Medical Sciences  Rohtak (Haryana),2017,C-30767,750,1071,709,554,1263,231,162,393,987,746,1733
 Pt. B D Sharma Postgraduate Institute of Medical Sciences  Rohtak (Haryana),2018,C-30767,800,1206,735,540,1275,279,239,518,1041,806,1847
 Goa Medical College  Panaji,2012,C-30851,0,130,153,279,432,85,76,161,253,384,637
 Goa Medical College  Panaji,2013,C-30851,100,243,182,300,482,83,73,156,279,404,683
 Goa Medical College  Panaji,2014,C-30851,200,363,233,365,598,70,82,152,316,478,794
 Goa Medical College  Panaji,2015,C-30851,300,499,245,456,701,73,94,167,332,579,911
 Goa Medical College  Panaji,2016,C-30851,400,536,264,542,806,64,102,166,342,673,1015
 Goa Medical College  Panaji,2017,C-30851,550,620,267,580,847,67,108,175,350,713,1063
 Goa Medical College  Panaji,2018,C-30851,600,696,316,620,936,77,113,190,410,756,1166
 Shyam Shah Medical College  Rewa,2014,C-31875,120,170,234,201,435,76,32,108,310,233,543
 Shyam Shah Medical College  Rewa,2015,C-31875,180,231,263,214,477,74,33,107,337,247,584
 Shyam Shah Medical College  Rewa,2016,C-31875,240,247,250,210,460,73,35,108,323,245,568
 Shyam Shah Medical College  Rewa,2017,C-31875,340,317,250,203,453,70,38,108,340,246,586
 Shyam Shah Medical College  Rewa,2018,C-31875,380,401,233,187,420,69,49,118,317,246,563
 Army College of Medical Sciences  New Delhi,2013,C-32857,500,300,144,112,256,0,0,0,144,112,256
 Army College of Medical Sciences  New Delhi,2015,C-32857,500,300,143,155,298,0,0,0,143,155,298
 Army College of Medical Sciences  New Delhi,2016,C-32857,500,300,145,153,298,0,0,0,145,153,298
 Army College of Medical Sciences  New Delhi,2017,C-32857,500,300,195,203,398,0,0,0,195,203,398
 Army College of Medical Sciences  New Delhi,2018,C-32857,500,300,239,259,498,0,0,0,239,259,498
 PGIMER Dr. RML Hospital  New Delhi,2015,C-32877,0,336,0,0,0,141,100,241,169,104,273
 PGIMER Dr. RML Hospital  New Delhi,2016,C-32877,0,359,0,0,0,142,116,258,173,127,300
 PGIMER Dr. RML Hospital  New Delhi,2017,C-32877,0,427,0,0,0,134,118,252,162,142,304
 Vardhman Mahavir Medical College & Safdarjung Hospital  Delhi,2017,C-32922,750,1215,407,185,592,0,0,0,407,185,592
 Vardhman Mahavir Medical College & Safdarjung Hospital  Delhi,2018,C-32922,750,1343,505,237,742,0,0,0,505,237,742
 Pt. J N M Medical College  Raipur,2014,C-32980,750,606,290,211,501,114,65,179,438,287,725
 Pt. J N M Medical College  Raipur,2015,C-32980,750,637,306,235,541,119,71,190,457,316,773
 Pt. J N M Medical College  Raipur,2016,C-32980,750,672,304,265,569,118,72,190,453,347,800
 Pt. J N M Medical College  Raipur,2017,C-32980,750,716,300,296,596,126,66,192,454,373,827
 Pt. J N M Medical College  Raipur,2018,C-32980,750,760,309,288,597,138,72,210,474,373,847
 Chhattisgarh Institute of Medical Sciences  Bilaspur,2012,C-33014,500,309,253,146,399,1,0,1,254,146,400
 Chhattisgarh Institute of Medical Sciences  Bilaspur,2013,C-33014,500,309,244,156,400,0,2,2,244,158,402
 Chhattisgarh Institute of Medical Sciences  Bilaspur,2014,C-33014,500,309,288,210,498,2,1,3,290,211,501
 Chhattisgarh Institute of Medical Sciences  Bilaspur,2015,C-33014,500,309,272,249,521,1,2,3,273,251,524
 Chhattisgarh Institute of Medical Sciences  Bilaspur,2016,C-33014,500,309,332,344,676,0,3,3,332,347,679
 Chhattisgarh Institute of Medical Sciences  Bilaspur,2017,C-33014,550,359,351,381,732,0,2,2,351,383,734
 Chhattisgarh Institute of Medical Sciences  Bilaspur,2018,C-33014,600,409,380,405,785,0,2,2,380,407,787
 Bharati Vidyapeeth University Medical College  Pune,2012,C-35423,750,678,442,516,958,148,85,233,609,612,1221
 Bharati Vidyapeeth University Medical College  Pune,2013,C-35423,750,682,420,525,945,151,98,249,590,639,1229
 Bharati Vidyapeeth University Medical College  Pune,2014,C-35423,750,688,412,553,965,142,97,239,572,674,1246
 Bharati Vidyapeeth University Medical College  Pune,2015,C-35423,750,701,416,557,973,135,103,238,569,684,1253
 Bharati Vidyapeeth University Medical College  Pune,2017,C-35423,750,733,456,592,1048,134,105,239,610,720,1330
 Bharati Vidyapeeth University Medical College  Pune,2018,C-35423,750,751,444,580,1024,130,100,230,595,701,1296
 Bharati Vidyapeeth Deemed University Medical College & Hospital  Sangli,2012,C-35443,0,28,312,216,528,7,4,11,319,220,539
 Bharati Vidyapeeth Deemed University Medical College & Hospital  Sangli,2013,C-35443,100,153,350,261,611,14,7,21,364,268,632
 Bharati Vidyapeeth Deemed University Medical College & Hospital  Sangli,2014,C-35443,200,268,323,313,636,28,14,42,351,327,678
 Bharati Vidyapeeth Deemed University Medical College & Hospital  Sangli,2015,C-35443,300,386,350,341,691,41,16,57,391,357,748
 Bharati Vidyapeeth Deemed University Medical College & Hospital  Sangli,2017,C-35443,550,477,358,364,722,57,28,85,415,392,807
 Bharati Vidyapeeth Deemed University Medical College & Hospital  Sangli,2018,C-35443,600,552,367,372,739,57,32,89,424,404,828
 Sri Siddhartha Medical College  Tumkur,2012,C-36484,0,80,189,241,430,47,38,85,236,279,515
 Sri Siddhartha Medical College  Tumkur,2013,C-36484,130,214,338,374,712,46,44,90,384,418,802
 Sri Siddhartha Medical College  Tumkur,2014,C-36484,260,347,347,383,730,47,42,89,394,425,819
 Sri Siddhartha Medical College  Tumkur,2015,C-36484,390,480,371,379,750,40,50,90,411,429,840
 Sri Siddhartha Medical College  Tumkur,2016,C-36484,520,483,414,337,751,53,31,84,467,368,835
 Sri Siddhartha Medical College  Tumkur,2017,C-36484,670,503,396,345,741,79,36,115,475,381,856
 Sri Siddhartha Medical College  Tumkur,2018,C-36484,670,515,396,345,741,53,37,90,449,382,831
 Narayan Medical College & Hospital  Sasaram,2012,C-36589,500,300,194,92,286,0,0,0,194,92,286
 Narayan Medical College & Hospital  Sasaram,2013,C-36589,500,300,265,121,386,0,0,0,265,121,386
 Narayan Medical College & Hospital  Sasaram,2014,C-36589,500,306,176,124,300,0,0,0,176,124,300
 Narayan Medical College & Hospital  Sasaram,2015,C-36589,500,312,295,205,500,0,0,0,295,205,500
 Narayan Medical College & Hospital  Sasaram,2016,C-36589,500,318,295,205,500,0,0,0,295,205,500
 Narayan Medical College & Hospital  Sasaram,2017,C-36589,500,366,229,171,400,0,0,0,229,171,400
 Narayan Medical College & Hospital  Sasaram,2018,C-36589,500,438,278,222,500,0,0,0,278,222,500
 Tata Memorial centre  Mumbai,2017,C-39257,0,283,0,0,0,0,0,0,0,0,0
 Tata Memorial centre  Mumbai,2018,C-39257,0,326,0,0,0,86,131,217,174,170,344
 Bhabha Atomic Research Centre Mumbai,2018,C-39260,140,6,0,0,0,183,27,210,255,52,307
 MKCG Medical College  Berhampur,2013,C-39378,150,363,612,283,895,175,72,247,787,355,1142
 MKCG Medical College  Berhampur,2014,C-39378,300,564,592,305,897,172,79,251,764,384,1148
 MKCG Medical College  Berhampur,2015,C-39378,450,777,577,323,900,174,68,242,751,391,1142
 MKCG Medical College  Berhampur,2016,C-39378,600,842,571,329,900,179,73,252,750,402,1152
 MKCG Medical College  Berhampur,2017,C-39378,850,981,645,354,999,188,74,262,833,428,1261
 MKCG Medical College  Berhampur,2018,C-39378,950,1094,709,390,1099,193,87,280,902,477,1379
 Hi-Tech Medical College & Hospital  Bhubaneswar,2014,C-39706,500,477,256,244,500,39,30,69,295,274,569
 Hi-Tech Medical College & Hospital  Bhubaneswar,2015,C-39706,500,477,273,227,500,61,36,97,334,263,597
 Hi-Tech Medical College & Hospital  Bhubaneswar,2016,C-39706,500,477,292,248,540,71,35,106,363,283,646
 Hi-Tech Medical College & Hospital  Bhubaneswar,2017,C-39706,500,477,299,241,540,68,31,99,367,272,639
 Hi-Tech Medical College & Hospital  Bhubaneswar,2018,C-39706,500,477,279,261,540,63,22,85,342,283,625
 Al-Ameen Medical College Bijapur,2012,C-40062,0,39,9,58,67,0,0,0,9,58,67
 Al-Ameen Medical College Bijapur,2013,C-40062,100,143,9,58,67,0,0,0,9,58,67
 Al-Ameen Medical College Bijapur,2015,C-40062,300,358,74,76,150,0,0,0,74,76,150
 Al-Ameen Medical College Bijapur,2016,C-40062,400,371,64,35,99,0,0,0,64,35,99
 Al-Ameen Medical College Bijapur,2017,C-40062,550,434,84,66,150,0,0,0,84,66,150
 Al-Ameen Medical College Bijapur,2018,C-40062,550,434,47,53,100,0,0,0,47,53,100
 Rajarajeswari Medical College & Hospital  Bangalore,2012,C-40063,150,120,174,208,382,0,0,0,174,208,382
 Rajarajeswari Medical College & Hospital  Bangalore,2013,C-40063,0,184,174,179,353,0,0,0,174,179,353
 Rajarajeswari Medical College & Hospital  Bangalore,2016,C-40063,450,718,0,0,0,0,0,0,0,0,0
 Rajarajeswari Medical College & Hospital  Bangalore,2017,C-40063,600,761,0,0,0,0,0,0,0,0,0
 Rajarajeswari Medical College & Hospital  Bangalore,2018,C-40063,850,899,0,0,0,0,0,0,0,0,0
