Institution,Year,AISHE_CODE,UG_cap,PG_cap,UG_M,UG_F,UG_T,PG_M,PG_F,PG_T,TOTAL_M,TOTAL_F,GRAND_TOTAL
 Karuna Medical College  Palakkad,2015,C-43276,500,330,165,335,500,0,0,0,165,335,500
 Karuna Medical College  Palakkad,2016,C-43276,500,330,242,330,572,0,0,0,242,330,572
 Karuna Medical College  Palakkad,2017,C-43276,500,330,167,333,500,0,0,0,167,333,500
 Karuna Medical College  Palakkad,2018,C-43276,500,332,175,325,500,0,0,0,175,325,500
 Amala Institute of Medical Sciences  Thrissur,2016,C-43290,500,420,154,346,500,47,48,95,204,397,601
 Amala Institute of Medical Sciences  Thrissur,2017,C-43290,500,426,165,335,500,43,55,98,210,394,604
 Amala Institute of Medical Sciences  Thrissur,2018,C-43290,500,431,160,340,500,39,62,101,200,407,607
 Government Medical College  Thrissur,2012,C-43299,750,650,0,0,0,54,146,200,54,146,200
 Jubilee Mission Medical College & Research Institute  Thrissur,2016,C-43331,500,411,186,314,500,43,49,92,229,363,592
 Jubilee Mission Medical College & Research Institute  Thrissur,2017,C-43331,500,411,175,325,500,40,52,92,215,377,592
 Jubilee Mission Medical College & Research Institute  Thrissur,2018,C-43331,500,415,173,327,500,40,49,89,213,376,589
 M G M Medical College  Jamshedpur,2014,C-43561,100,109,225,275,500,0,0,0,225,275,500
 M G M Medical College  Jamshedpur,2015,C-43561,150,157,170,180,350,0,0,0,170,180,350
 M G M Medical College  Jamshedpur,2016,C-43561,200,164,171,189,360,0,0,0,171,189,360
 M G M Medical College  Jamshedpur,2017,C-43561,300,221,176,226,402,0,0,0,176,226,402
 M G M Medical College  Jamshedpur,2018,C-43561,350,271,195,255,450,0,0,0,195,255,450
 Nalanda Medical College  Patna,2013,C-43569,250,291,449,0,449,104,0,104,553,0,553
 Nalanda Medical College  Patna,2014,C-43569,250,291,498,0,498,112,0,112,610,0,610
 Nalanda Medical College  Patna,2015,C-43569,250,291,267,197,464,45,23,68,312,220,532
 Nalanda Medical College  Patna,2016,C-43569,250,291,267,201,468,45,23,68,312,224,536
 Nalanda Medical College  Patna,2017,C-43569,250,331,497,0,497,0,0,0,561,37,598
 Nalanda Medical College  Patna,2018,C-43569,300,430,264,199,463,0,0,0,326,235,561
 Kannur Medical College  Kannur,2012,C-43774,500,330,153,347,500,3,7,10,156,354,510
 Kannur Medical College  Kannur,2013,C-43774,500,351,0,0,0,3,7,10,3,7,10
 Academy of Medical Sceiences Pariyaram  Kannur,2018,C-43815,500,399,140,360,500,32,48,80,175,417,592
 Patliputra Medical College  Dhanbad,2013,C-44374,450,250,125,125,250,0,0,0,125,125,250
 Patliputra Medical College  Dhanbad,2016,C-44374,300,150,159,193,352,0,0,0,159,193,352
 Patliputra Medical College  Dhanbad,2017,C-44374,300,200,173,217,390,0,0,0,173,217,390
 Patliputra Medical College  Dhanbad,2018,C-44374,300,200,22,28,50,0,0,0,22,28,50
 Command Hospital Air Force  Bangalore,2012,C-44855,0,60,0,0,0,46,14,60,49,19,68
 Command Hospital Air Force  Bangalore,2013,C-44855,0,60,0,0,0,46,21,67,48,27,75
 Command Hospital Air Force  Bangalore,2015,C-44855,0,64,0,0,0,46,16,62,46,16,62
 Command Hospital Air Force  Bangalore,2016,C-44855,0,66,0,0,0,46,15,61,46,15,61
 Command Hospital Air Force  Bangalore,2017,C-44855,0,66,0,0,0,46,16,62,46,16,62
 Command Hospital Air Force  Bangalore,2018,C-44855,0,79,0,0,0,47,14,61,47,14,61
 Indira Gandhi Institute of Child Health  Bangalore,2012,C-44874,0,20,20,8,28,15,6,21,49,23,72
 Indira Gandhi Institute of Child Health  Bangalore,2013,C-44874,0,21,0,0,0,9,9,18,20,15,35
 Indira Gandhi Institute of Child Health  Bangalore,2014,C-44874,0,22,0,0,0,9,9,18,17,25,42
 Indira Gandhi Institute of Child Health  Bangalore,2015,C-44874,0,23,0,0,0,15,30,45,30,38,68
 Indira Gandhi Institute of Child Health  Bangalore,2016,C-44874,0,29,0,0,0,15,30,45,29,40,69
 Indira Gandhi Institute of Child Health  Bangalore,2017,C-44874,0,48,0,0,0,15,12,27,24,29,53
 Indira Gandhi Institute of Child Health  Bangalore,2018,C-44874,0,67,0,0,0,26,11,37,38,28,66
 Mahatma Gandhi Missions Medical College  Navi Mumbai,2012,C-44884,750,554,235,315,550,64,53,117,315,374,689
 Mahatma Gandhi Missions Medical College  Navi Mumbai,2013,C-44884,750,566,275,325,600,79,66,145,363,402,765
 Mahatma Gandhi Missions Medical College  Navi Mumbai,2014,C-44884,750,587,267,383,650,84,83,167,360,477,837
 Mahatma Gandhi Missions Medical College  Navi Mumbai,2015,C-44884,750,622,288,412,700,94,103,197,391,526,917
 Mahatma Gandhi Missions Medical College  Navi Mumbai,2016,C-44884,750,654,294,406,700,105,93,198,411,507,918
 Mahatma Gandhi Missions Medical College  Navi Mumbai,2017,C-44884,750,669,281,419,700,130,131,261,444,571,1015
 Mahatma Gandhi Missions Medical College  Navi Mumbai,2018,C-44884,750,695,275,425,700,121,128,249,408,564,972
 Mahatma Gandhi Missions Medical College  Aurangabad,2012,C-44885,750,599,227,227,454,59,5,64,293,232,525
 Mahatma Gandhi Missions Medical College  Aurangabad,2013,C-44885,750,623,258,227,485,79,52,131,348,281,629
 Mahatma Gandhi Missions Medical College  Aurangabad,2014,C-44885,750,641,331,314,645,102,62,164,446,377,823
 Mahatma Gandhi Missions Medical College  Aurangabad,2015,C-44885,750,654,483,401,884,112,66,178,609,468,1077
 Mahatma Gandhi Missions Medical College  Aurangabad,2016,C-44885,750,659,502,431,933,109,66,175,625,501,1126
 Mahatma Gandhi Missions Medical College  Aurangabad,2017,C-44885,750,660,362,338,700,115,62,177,501,409,910
 Mahatma Gandhi Missions Medical College  Aurangabad,2018,C-44885,750,670,362,388,750,103,59,162,485,455,940
 Institute of Nephro-Urology  Bangalore,2015,C-44934,0,24,0,0,0,22,2,24,22,2,24
 Institute of Nephro-Urology  Bangalore,2016,C-44934,0,24,0,0,0,23,1,24,23,1,24
 Institute of Nephro-Urology  Bangalore,2017,C-44934,0,24,0,0,0,22,2,24,22,2,24
 Institute of Nephro-Urology  Bangalore,2018,C-44934,0,24,0,0,0,21,3,24,21,3,24
 Stanley Medical College  Chennai,2012,C-45403,0,351,424,528,952,0,0,0,424,528,952
 Stanley Medical College  Chennai,2013,C-45403,150,503,564,436,1000,0,0,0,564,436,1000
 Stanley Medical College  Chennai,2014,C-45403,300,659,390,310,700,834,188,1022,1402,574,1976
 Stanley Medical College  Chennai,2015,C-45403,450,827,673,513,1186,130,142,272,844,729,1573
 Stanley Medical College  Chennai,2016,C-45403,600,853,590,459,1049,110,169,279,741,698,1439
 Stanley Medical College  Chennai,2017,C-45403,850,1003,638,511,1149,98,148,246,775,727,1502
 Stanley Medical College  Chennai,2018,C-45403,950,1145,682,566,1248,120,170,290,841,803,1644
 Madurai Medical College  Madurai,2012,C-45404,750,765,466,725,1191,265,155,420,815,1276,2091
 Madurai Medical College  Madurai,2013,C-45404,750,774,430,711,1141,291,185,476,848,1279,2127
 Madurai Medical College  Madurai,2014,C-45404,750,788,416,636,1052,247,170,417,791,1215,2006
 Madurai Medical College  Madurai,2015,C-45404,750,810,383,663,1046,242,171,413,796,1204,2000
 Madurai Medical College  Madurai,2016,C-45404,750,833,409,606,1015,225,189,414,851,1178,2029
 Madurai Medical College  Madurai,2017,C-45404,750,843,396,606,1002,285,222,507,918,1888,2806
 Madurai Medical College  Madurai,2018,C-45404,750,845,387,615,1002,261,214,475,940,1788,2728
 Kilpauk Medical College  Chennai,2012,C-45405,0,210,230,270,500,0,0,0,230,270,500
 Kilpauk Medical College  Chennai,2013,C-45405,100,319,257,293,550,0,0,0,257,293,550
 Kilpauk Medical College  Chennai,2014,C-45405,200,443,284,362,646,0,0,0,284,362,646
 Kilpauk Medical College  Chennai,2015,C-45405,300,575,288,362,650,0,0,0,288,362,650
 Kilpauk Medical College  Chennai,2016,C-45405,400,601,309,391,700,0,0,0,309,391,700
 Kilpauk Medical College  Chennai,2017,C-45405,550,666,316,430,746,0,0,0,316,430,746
 Kilpauk Medical College  Chennai,2018,C-45405,600,736,296,450,746,0,0,0,296,450,746
 Thanjavur Medical College Thanjavur,2013,C-45406,750,612,384,384,768,39,26,65,516,819,1335
 Thanjavur Medical College Thanjavur,2014,C-45406,750,627,93,49,142,16,36,52,263,603,866
 Thanjavur Medical College Thanjavur,2015,C-45406,750,644,74,79,153,34,25,59,196,513,709
 Thanjavur Medical College Thanjavur,2016,C-45406,750,664,367,387,754,34,31,65,486,858,1344
 Thanjavur Medical College Thanjavur,2017,C-45406,750,679,389,370,759,31,26,57,596,689,1285
 Thanjavur Medical College Thanjavur,2018,C-45406,750,689,360,389,749,40,32,72,589,710,1299
 Sankara Netralaya  Medical Research Foundation  Chennai,2016,C-45412,0,27,0,0,0,0,0,0,2,6,8
 Sankara Netralaya  Medical Research Foundation  Chennai,2017,C-45412,0,16,0,0,0,0,0,0,1,7,8
 Sankara Netralaya  Medical Research Foundation  Chennai,2018,C-45412,0,0,0,0,0,0,0,0,1,7,8
 Sri Muthukumaran Medical College Chennai,2012,C-45461,450,450,68,82,150,0,0,0,68,82,150
 Sri Muthukumaran Medical College Chennai,2013,C-45461,600,450,65,85,150,0,0,0,65,85,150
 Sri Muthukumaran Medical College Chennai,2014,C-45461,750,450,73,95,168,0,0,0,73,95,168
 Sri Muthukumaran Medical College Chennai,2015,C-45461,750,450,64,86,150,0,0,0,64,86,150
 Sri Muthukumaran Medical College Chennai,2016,C-45461,750,450,0,0,0,0,0,0,0,0,0
 Sri Muthukumaran Medical College Chennai,2017,C-45461,750,450,110,168,278,0,0,0,110,168,278
 Sri Muthukumaran Medical College Chennai,2018,C-45461,750,450,55,95,150,0,0,0,55,95,150
 Tagore Medical College and Hospital  Chennai,2012,C-45462,750,450,119,173,292,0,0,0,119,173,292
 Tagore Medical College and Hospital  Chennai,2013,C-45462,750,450,119,173,292,0,0,0,119,173,292
 Tagore Medical College and Hospital  Chennai,2014,C-45462,750,450,171,213,384,0,0,0,171,213,384
 Tagore Medical College and Hospital  Chennai,2015,C-45462,750,450,214,262,476,0,0,0,214,262,476
 Tagore Medical College and Hospital  Chennai,2016,C-45462,750,450,215,259,474,0,0,0,215,259,474
 Tagore Medical College and Hospital  Chennai,2017,C-45462,750,450,231,274,505,0,0,0,231,274,505
 Tagore Medical College and Hospital  Chennai,2018,C-45462,750,450,287,364,651,0,0,0,287,364,651
 Regional centre for Cancer Research and treatment Adyar Chennai,2012,C-45496,150,26,0,0,0,41,4,45,45,4,49
 Regional centre for Cancer Research and treatment Adyar Chennai,2013,C-45496,0,31,0,0,0,36,8,44,38,9,47
 Regional centre for Cancer Research and treatment Adyar Chennai,2014,C-45496,0,32,17,14,31,0,0,0,17,14,31
 Regional centre for Cancer Research and treatment Adyar Chennai,2015,C-45496,0,31,18,14,32,0,0,0,18,14,32
 Regional centre for Cancer Research and treatment Adyar Chennai,2016,C-45496,0,33,22,20,42,0,0,0,22,20,42
 Regional centre for Cancer Research and treatment Adyar Chennai,2017,C-45496,0,33,22,29,51,0,0,0,22,29,51
 Regional centre for Cancer Research and treatment Adyar Chennai,2018,C-45496,0,38,23,34,57,0,0,0,23,34,57
 ESI-PGIMSR ESI Hospital K.K Nagar Chennai,2012,C-45507,450,198,0,0,0,4,7,11,4,7,11
 ESI-PGIMSR ESI Hospital K.K Nagar Chennai,2013,C-45507,400,148,0,0,0,7,14,21,7,14,21
 ESI-PGIMSR ESI Hospital K.K Nagar Chennai,2014,C-45507,350,251,28,59,87,15,20,35,43,79,122
 ESI-PGIMSR ESI Hospital K.K Nagar Chennai,2015,C-45507,300,353,65,125,190,16,22,38,81,147,228
 ESI-PGIMSR ESI Hospital K.K Nagar Chennai,2016,C-45507,400,352,101,158,259,17,11,28,118,169,287
 ESI-PGIMSR ESI Hospital K.K Nagar Chennai,2017,C-45507,500,354,133,226,359,6,13,19,139,239,378
 ESI-PGIMSR ESI Hospital K.K Nagar Chennai,2018,C-45507,500,358,169,289,458,7,7,14,176,296,472
 Coimbatore Medical College  Coimbatore,2012,C-45513,750,644,69,77,146,33,28,61,108,110,218
 Coimbatore Medical College  Coimbatore,2013,C-45513,750,670,63,84,147,30,31,61,98,124,222
 Coimbatore Medical College  Coimbatore,2014,C-45513,750,682,54,88,142,27,34,61,90,128,218
 Coimbatore Medical College  Coimbatore,2015,C-45513,750,696,54,95,149,27,36,63,86,139,225
 Coimbatore Medical College  Coimbatore,2016,C-45513,750,705,55,91,146,32,38,70,95,138,233
 Coimbatore Medical College  Coimbatore,2017,C-45513,750,742,56,87,143,35,37,72,99,133,232
 Coimbatore Medical College  Coimbatore,2018,C-45513,750,781,62,88,150,51,51,102,118,148,266
 Government Dharmapuri Medical College  Dharmapuri,2012,C-45577,500,300,219,259,478,0,0,0,219,259,478
 Government Dharmapuri Medical College  Dharmapuri,2013,C-45577,500,300,220,260,480,0,0,0,220,260,480
 Government Dharmapuri Medical College  Dharmapuri,2014,C-45577,500,300,229,246,475,0,0,0,229,246,475
 Government Dharmapuri Medical College  Dharmapuri,2015,C-45577,500,300,220,260,480,0,0,0,220,260,480
 Government Dharmapuri Medical College  Dharmapuri,2016,C-45577,500,300,220,260,480,0,0,0,250,293,543
 Government Dharmapuri Medical College  Dharmapuri,2017,C-45577,500,300,236,264,500,0,0,0,290,314,604
 Government Dharmapuri Medical College  Dharmapuri,2018,C-45577,500,308,236,264,500,0,0,0,330,357,687
 IRT Perundurai Medical College  Perundurai,2013,C-45594,460,260,133,161,294,0,0,0,133,161,294
 IRT Perundurai Medical College  Perundurai,2014,C-45594,420,220,155,192,347,0,0,0,155,192,347
 IRT Perundurai Medical College  Perundurai,2015,C-45594,380,180,155,192,347,0,0,0,155,192,347
 IRT Perundurai Medical College  Perundurai,2016,C-45594,340,180,157,181,338,0,0,0,157,181,338
 IRT Perundurai Medical College  Perundurai,2017,C-45594,340,220,169,191,360,0,0,0,169,191,360
 IRT Perundurai Medical College  Perundurai,2018,C-45594,380,260,179,221,400,0,0,0,179,221,400
 KanyaKumari Government Medical College  Asaripallam,2012,C-45623,500,300,157,197,354,0,0,0,169,494,663
 KanyaKumari Government Medical College  Asaripallam,2013,C-45623,500,305,170,198,368,0,0,0,182,495,677
 KanyaKumari Government Medical College  Asaripallam,2014,C-45623,500,310,170,198,368,0,0,0,180,476,656
 KanyaKumari Government Medical College  Asaripallam,2015,C-45623,500,315,177,199,376,8,7,15,214,522,736
 KanyaKumari Government Medical College  Asaripallam,2016,C-45623,500,315,184,209,393,8,7,15,215,518,733
 KanyaKumari Government Medical College  Asaripallam,2017,C-45623,500,326,194,195,389,7,8,15,224,486,710
 KanyaKumari Government Medical College  Asaripallam,2018,C-45623,500,337,181,203,384,14,12,26,213,522,735
 Sree Mookambika Institute of Medical Sciences  Kanyakumari,2012,C-45625,500,337,47,53,100,2,11,13,49,64,113
 Sree Mookambika Institute of Medical Sciences  Kanyakumari,2013,C-45625,500,360,31,69,100,4,13,17,35,82,117
 Sree Mookambika Institute of Medical Sciences  Kanyakumari,2014,C-45625,500,379,41,59,100,7,9,16,48,68,116
 Sree Mookambika Institute of Medical Sciences  Kanyakumari,2015,C-45625,500,393,40,60,100,10,14,24,50,74,124
 Sree Mookambika Institute of Medical Sciences  Kanyakumari,2016,C-45625,500,406,41,58,99,11,15,26,52,73,125
 Sree Mookambika Institute of Medical Sciences  Kanyakumari,2017,C-45625,500,408,33,67,100,14,13,27,47,80,127
 Sree Mookambika Institute of Medical Sciences  Kanyakumari,2018,C-45625,500,408,35,65,100,11,12,23,46,77,123
 Aravind Eye Hospitals & Post Graduate Institute of Ophthalmology  Madurai,2012,C-45647,0,36,0,0,0,5,19,24,10,22,32
 Aravind Eye Hospitals & Post Graduate Institute of Ophthalmology  Madurai,2013,C-45647,0,36,0,0,0,9,21,30,14,104,118
 Aravind Eye Hospitals & Post Graduate Institute of Ophthalmology  Madurai,2014,C-45647,0,48,0,0,0,13,23,36,24,73,97
 Aravind Eye Hospitals & Post Graduate Institute of Ophthalmology  Madurai,2015,C-45647,0,60,0,0,0,15,21,36,18,34,52
 Aravind Eye Hospitals & Post Graduate Institute of Ophthalmology  Madurai,2016,C-45647,0,72,0,0,0,13,20,33,15,33,48
 Aravind Eye Hospitals & Post Graduate Institute of Ophthalmology  Madurai,2017,C-45647,0,72,0,0,0,11,22,33,15,34,49
 Aravind Eye Hospitals & Post Graduate Institute of Ophthalmology  Madurai,2018,C-45647,0,72,0,0,0,10,23,33,15,34,49
 Institute of Opthalmology Joseph Eye Hospital  Tiruchirapalli,2012,C-45683,0,12,0,0,0,4,4,8,9,7,16
 Institute of Opthalmology Joseph Eye Hospital  Tiruchirapalli,2013,C-45683,0,12,0,0,0,2,6,8,6,9,15
 Institute of Opthalmology Joseph Eye Hospital  Tiruchirapalli,2014,C-45683,0,12,0,0,0,4,6,10,6,12,18
 Institute of Opthalmology Joseph Eye Hospital  Tiruchirapalli,2015,C-45683,0,16,0,0,0,4,6,10,6,11,17
 Institute of Opthalmology Joseph Eye Hospital  Tiruchirapalli,2016,C-45683,0,20,0,0,0,5,5,10,8,9,17
 Institute of Opthalmology Joseph Eye Hospital  Tiruchirapalli,2017,C-45683,0,24,0,0,0,7,4,11,8,11,19
 Institute of Opthalmology Joseph Eye Hospital  Tiruchirapalli,2018,C-45683,0,24,0,0,0,5,6,11,5,13,18
 K A P Viswanathan Government Medical College  Trichy,2012,C-45684,0,48,0,0,0,20,24,44,20,24,44
 K A P Viswanathan Government Medical College  Trichy,2013,C-45684,100,150,318,292,610,0,0,0,318,292,610
 K A P Viswanathan Government Medical College  Trichy,2014,C-45684,200,252,304,357,661,23,28,51,327,385,712
 K A P Viswanathan Government Medical College  Trichy,2015,C-45684,300,354,387,465,852,46,40,86,433,505,938
 K A P Viswanathan Government Medical College  Trichy,2016,C-45684,400,357,331,434,765,23,29,52,354,463,817
 K A P Viswanathan Government Medical College  Trichy,2017,C-45684,550,473,344,470,814,27,27,54,371,497,868
 K A P Viswanathan Government Medical College  Trichy,2018,C-45684,600,605,360,501,861,52,49,101,412,550,962
 Mohan Kumaramangalam Medical College  Salem,2012,C-45690,0,51,203,177,380,24,13,37,253,807,1060
 Mohan Kumaramangalam Medical College  Salem,2013,C-45690,75,136,200,180,380,28,16,44,254,813,1067
 Mohan Kumaramangalam Medical College  Salem,2014,C-45690,150,221,237,282,519,35,22,57,319,981,1300
 Mohan Kumaramangalam Medical College  Salem,2015,C-45690,225,306,221,246,467,36,23,59,302,917,1219
 Mohan Kumaramangalam Medical College  Salem,2016,C-45690,300,316,185,202,387,41,28,69,283,836,1119
 Mohan Kumaramangalam Medical College  Salem,2017,C-45690,400,387,233,254,487,47,35,82,388,473,861
 Mohan Kumaramangalam Medical College  Salem,2018,C-45690,425,461,246,262,508,69,58,127,476,549,1025
 Dhanalakshmi Srinivasan Medical College and Hospital Perambalur,2012,C-45716,750,517,61,89,150,0,0,0,61,89,150
 Dhanalakshmi Srinivasan Medical College and Hospital Perambalur,2013,C-45716,750,450,112,188,300,0,0,0,112,188,300
 Dhanalakshmi Srinivasan Medical College and Hospital Perambalur,2014,C-45716,750,450,176,274,450,0,0,0,176,274,450
 Dhanalakshmi Srinivasan Medical College and Hospital Perambalur,2015,C-45716,750,464,245,355,600,0,0,0,245,355,600
 Dhanalakshmi Srinivasan Medical College and Hospital Perambalur,2016,C-45716,750,482,317,433,750,4,1,5,321,434,755
 Dhanalakshmi Srinivasan Medical College and Hospital Perambalur,2017,C-45716,750,500,371,529,900,8,9,17,379,538,917
 Dhanalakshmi Srinivasan Medical College and Hospital Perambalur,2018,C-45716,750,504,387,513,900,11,17,28,398,530,928
 Government Villupuram Medical College  Villupuram,2012,C-45731,300,300,492,608,1100,0,0,0,492,608,1100
 Government Villupuram Medical College  Villupuram,2013,C-45731,400,300,1176,724,1900,0,0,0,1176,724,1900
 Government Villupuram Medical College  Villupuram,2014,C-45731,500,300,1339,810,2149,0,0,0,1339,810,2149
 Government Villupuram Medical College  Villupuram,2015,C-45731,500,300,693,707,1400,0,0,0,693,707,1400
 Government Villupuram Medical College  Villupuram,2018,C-45731,500,300,773,777,1550,0,0,0,773,777,1550
 Thiruvarur Govt. Medical College  Thiruvarur,2012,C-45775,600,300,51,48,99,0,0,0,51,48,99
 Thiruvarur Govt. Medical College  Thiruvarur,2013,C-45775,550,300,93,106,199,0,0,0,93,106,199
 Thiruvarur Govt. Medical College  Thiruvarur,2014,C-45775,500,300,144,155,299,0,0,0,144,155,299
 Thiruvarur Govt. Medical College  Thiruvarur,2015,C-45775,500,300,43,57,100,0,0,0,43,57,100
 Thiruvarur Govt. Medical College  Thiruvarur,2016,C-45775,500,300,193,206,399,0,0,0,193,206,399
 Thiruvarur Govt. Medical College  Thiruvarur,2017,C-45775,500,300,238,261,499,0,0,0,238,261,499
 Thiruvarur Govt. Medical College  Thiruvarur,2018,C-45775,500,300,239,260,499,0,0,0,239,260,499
 Chengalpattu Medical College  Chengalpattu,2012,C-45796,500,339,127,290,417,32,14,46,194,527,721
 Chengalpattu Medical College  Chengalpattu,2013,C-45796,500,347,153,363,516,35,11,46,230,743,973
 Chengalpattu Medical College  Chengalpattu,2014,C-45796,500,356,185,397,582,28,24,52,260,699,959
 Chengalpattu Medical College  Chengalpattu,2015,C-45796,500,365,211,437,648,28,32,60,280,785,1065
 Chengalpattu Medical College  Chengalpattu,2016,C-45796,500,375,252,463,715,26,38,64,325,865,1190
 Chengalpattu Medical College  Chengalpattu,2017,C-45796,500,422,271,479,750,30,41,71,335,932,1267
 Chengalpattu Medical College  Chengalpattu,2018,C-45796,500,489,280,472,752,59,54,113,395,997,1392
 Madha Medical College and Hospital  Thandalam  Chennai,2012,C-45797,260,100,57,90,147,0,0,0,57,90,147
 Madha Medical College and Hospital  Thandalam  Chennai,2013,C-45797,200,0,127,164,291,0,0,0,127,164,291
 Madha Medical College and Hospital  Thandalam  Chennai,2014,C-45797,100,0,186,251,437,0,0,0,186,251,437
 Madha Medical College and Hospital  Thandalam  Chennai,2015,C-45797,0,0,186,251,437,0,0,0,186,251,437
 Madha Medical College and Hospital  Thandalam  Chennai,2016,C-45797,0,0,116,177,293,0,0,0,116,177,293
 Madha Medical College and Hospital  Thandalam  Chennai,2017,C-45797,0,0,179,267,446,0,0,0,179,267,446
 Madha Medical College and Hospital  Thandalam  Chennai,2018,C-45797,0,0,123,174,297,0,0,0,123,174,297
 Melmaruvathur Adiparasakthi Instt. Medical Sciences  and Research,2012,C-45814,750,462,309,404,713,0,0,0,309,404,713
 Melmaruvathur Adiparasakthi Instt. Medical Sciences  and Research,2013,C-45814,750,470,309,404,713,0,0,0,309,404,713
 Melmaruvathur Adiparasakthi Instt. Medical Sciences  and Research,2014,C-45814,750,478,238,330,568,0,0,0,238,330,568
 Melmaruvathur Adiparasakthi Instt. Medical Sciences  and Research,2015,C-45814,750,486,136,164,300,0,0,0,136,164,300
 Melmaruvathur Adiparasakthi Instt. Medical Sciences  and Research,2016,C-45814,750,486,74,76,150,0,0,0,74,76,150
 Melmaruvathur Adiparasakthi Instt. Medical Sciences  and Research,2017,C-45814,750,486,143,157,300,0,0,0,143,157,300
 Melmaruvathur Adiparasakthi Instt. Medical Sciences  and Research,2018,C-45814,750,486,73,76,149,0,0,0,73,76,149
 Karpaga Vinayaga Institute of Medical Sciences Maduranthagam,2012,C-45816,550,300,134,164,298,0,0,0,134,164,298
 Karpaga Vinayaga Institute of Medical Sciences Maduranthagam,2013,C-45816,500,314,177,221,398,0,0,0,177,221,398
 Karpaga Vinayaga Institute of Medical Sciences Maduranthagam,2014,C-45816,500,328,287,311,598,0,0,0,287,311,598
 Karpaga Vinayaga Institute of Medical Sciences Maduranthagam,2015,C-45816,500,342,287,311,598,0,0,0,287,311,598
 Karpaga Vinayaga Institute of Medical Sciences Maduranthagam,2016,C-45816,500,346,324,276,600,0,0,0,324,276,600
 Karpaga Vinayaga Institute of Medical Sciences Maduranthagam,2017,C-45816,500,366,282,318,600,0,0,0,282,318,600
 Karpaga Vinayaga Institute of Medical Sciences Maduranthagam,2018,C-45816,500,386,274,326,600,0,0,0,274,326,600
 Thoothukudi Medical College  Thoothukudi,2012,C-45917,500,300,205,205,410,0,0,0,205,205,410
 Thoothukudi Medical College  Thoothukudi,2013,C-45917,500,300,198,213,411,0,0,0,198,213,411
 Thoothukudi Medical College  Thoothukudi,2014,C-45917,500,300,218,238,456,0,0,0,218,238,456
 Thoothukudi Medical College  Thoothukudi,2015,C-45917,500,300,253,251,504,0,0,0,253,251,504
 Thoothukudi Medical College  Thoothukudi,2016,C-45917,500,300,299,335,634,0,0,0,299,335,634
 Thoothukudi Medical College  Thoothukudi,2017,C-45917,550,350,311,372,683,0,0,0,311,372,683
 Thoothukudi Medical College  Thoothukudi,2018,C-45917,600,438,335,387,722,0,0,0,335,387,722
 Punjab Institute of Medical Sciences  Jalandhar,2012,C-46108,600,400,67,83,150,0,0,0,67,83,150
 Punjab Institute of Medical Sciences  Jalandhar,2013,C-46108,650,450,123,177,300,0,0,0,123,177,300
 Punjab Institute of Medical Sciences  Jalandhar,2014,C-46108,700,450,123,177,300,0,0,0,123,177,300
 Punjab Institute of Medical Sciences  Jalandhar,2015,C-46108,750,450,190,244,434,0,0,0,190,244,434
 Punjab Institute of Medical Sciences  Jalandhar,2016,C-46108,750,450,263,322,585,0,0,0,263,322,585
 Punjab Institute of Medical Sciences  Jalandhar,2017,C-46108,750,450,328,406,734,0,0,0,328,406,734
