Institution,Year,AISHE_CODE,UG_cap,PG_cap,UG_M,UG_F,UG_T,PG_M,PG_F,PG_T,TOTAL_M,TOTAL_F,GRAND_TOTAL
 Gulbarga Institute of Medical Sciences  Gulbarga,2018,C-51531,750,450,242,208,450,0,0,0,242,208,450
 Koppal Institute of Medical Sciences  Koppal,2015,C-51561,750,450,0,0,0,0,0,0,0,0,0
 Koppal Institute of Medical Sciences  Koppal,2016,C-51561,750,450,80,58,138,0,0,0,80,58,138
 Koppal Institute of Medical Sciences  Koppal,2017,C-51561,750,450,145,141,286,0,0,0,145,141,286
 Koppal Institute of Medical Sciences  Koppal,2018,C-51561,750,450,218,218,436,0,0,0,218,218,436
 GMERS Medical College  Hadiyol  Himmatnagar,2015,C-51884,750,450,79,81,160,0,0,0,79,81,160
 GMERS Medical College  Hadiyol  Himmatnagar,2016,C-51884,750,450,0,0,0,0,0,0,0,0,0
 GMERS Medical College  Hadiyol  Himmatnagar,2017,C-51884,750,450,164,136,300,0,0,0,164,136,300
 GMERS Medical College  Hadiyol  Himmatnagar,2018,C-51884,750,450,252,198,450,0,0,0,252,198,450
 GMERS Medical College  Junagadh,2016,C-51933,750,450,87,63,150,0,0,0,87,63,150
 GMERS Medical College  Junagadh,2017,C-51933,750,450,159,141,300,0,0,0,159,141,300
 GMERS Medical College  Junagadh,2018,C-51933,750,450,259,191,450,0,0,0,259,191,450
 Government Medical College  Yakkara  Palakkad,2016,C-52001,500,300,42,158,200,0,0,0,42,158,200
 Government Medical College  Yakkara  Palakkad,2017,C-52001,500,300,109,191,300,0,0,0,109,191,300
 Government Medical College  Yakkara  Palakkad,2018,C-52001,500,300,28,72,100,0,0,0,28,72,100
 ACSR Government Medical College Nellore,2015,C-52006,600,400,57,93,150,0,0,0,57,93,150
 ACSR Government Medical College Nellore,2016,C-52006,650,450,121,179,300,0,0,0,121,179,300
 ACSR Government Medical College Nellore,2017,C-52006,700,450,195,252,447,0,0,0,195,252,447
 ACSR Government Medical College Nellore,2018,C-52006,750,450,272,325,597,0,0,0,272,325,597
 Maharani Laxmi Bai Medical College  Jhansi,2015,C-52206,200,259,280,169,449,75,42,117,379,216,595
 Maharani Laxmi Bai Medical College  Jhansi,2016,C-52206,300,325,300,198,498,79,40,119,400,248,648
 Maharani Laxmi Bai Medical College  Jhansi,2017,C-52206,350,401,279,215,494,85,39,124,385,265,650
 Hi-Tech Medical College & Hospital  Rourkela,2015,C-52236,100,0,148,151,299,0,0,0,148,151,299
 Hi-Tech Medical College & Hospital  Rourkela,2016,C-52236,0,0,205,194,399,0,0,0,205,194,399
 Hi-Tech Medical College & Hospital  Rourkela,2018,C-52236,0,0,207,192,399,0,0,0,207,192,399
 Shridevi Institute of Medical Sciences & Research Hospital  Tumkur,2015,C-52337,450,450,101,126,227,0,0,0,101,126,227
 Shridevi Institute of Medical Sciences & Research Hospital  Tumkur,2016,C-52337,600,450,153,206,359,0,0,0,153,206,359
 Shridevi Institute of Medical Sciences & Research Hospital  Tumkur,2017,C-52337,750,450,128,145,273,0,0,0,128,145,273
 Shridevi Institute of Medical Sciences & Research Hospital  Tumkur,2018,C-52337,750,450,259,304,563,0,0,0,259,304,563
 Institute of Mental Health and Hospital  Agra,2015,C-52358,0,6,0,0,0,7,1,8,7,1,8
 Institute of Mental Health and Hospital  Agra,2016,C-52358,0,6,0,0,0,5,1,6,8,8,16
 Government Medical College  Chandrapur,2018,C-52455,500,300,153,140,293,0,0,0,153,140,293
 Regional Instt. of Opthalmology Previously Known asNehru Instt.of Opthalmo  Sitapur,2015,C-52524,0,0,0,0,0,0,0,0,17,4,21
 Regional Instt. of Opthalmology Previously Known asNehru Instt.of Opthalmo  Sitapur,2016,C-52524,0,0,0,0,0,0,0,0,7,9,16
 Regional Instt. of Opthalmology Previously Known asNehru Instt.of Opthalmo  Sitapur,2017,C-52524,0,0,0,0,0,0,0,0,1,12,13
 Dr. Ram Manohar Lohia Institute of Medical Sciences Lucknow,2015,C-52731,0,44,0,0,0,8,5,13,11,5,16
 Dr. Ram Manohar Lohia Institute of Medical Sciences Lucknow,2016,C-52731,0,61,0,0,0,15,3,18,29,34,63
 Dr. Ram Manohar Lohia Institute of Medical Sciences Lucknow,2017,C-52731,150,235,0,0,0,37,14,51,53,44,97
 Dr. Ram Manohar Lohia Institute of Medical Sciences Lucknow,2018,C-52731,300,406,0,0,0,46,19,65,66,51,117
 Career Instt. Of Medical Sciences & Hospital  Lucknow,2015,C-52818,500,300,195,105,300,0,0,0,195,105,300
 Career Instt. Of Medical Sciences & Hospital  Lucknow,2016,C-52818,500,300,195,105,300,0,0,0,195,105,300
 Career Instt. Of Medical Sciences & Hospital  Lucknow,2017,C-52818,500,300,195,105,300,0,0,0,195,105,300
 Career Instt. Of Medical Sciences & Hospital  Lucknow,2018,C-52818,500,322,133,67,200,0,0,0,133,67,200
 Mahamaya Rajkiya Allopathic Medical College  Ambedkarnagar,2016,C-53151,500,300,334,137,471,0,0,0,334,137,471
 Mahamaya Rajkiya Allopathic Medical College  Ambedkarnagar,2017,C-53151,500,300,329,163,492,0,0,0,329,163,492
 Mahamaya Rajkiya Allopathic Medical College  Ambedkarnagar,2018,C-53151,500,300,317,183,500,0,0,0,317,183,500
 Velammal Medical College Hospital and Research Institute  Madurai,2015,C-53186,650,450,62,86,148,0,0,0,62,86,148
 Velammal Medical College Hospital and Research Institute  Madurai,2016,C-53186,700,450,59,91,150,0,0,0,59,91,150
 Velammal Medical College Hospital and Research Institute  Madurai,2017,C-53186,750,450,69,81,150,0,0,0,69,81,150
 Velammal Medical College Hospital and Research Institute  Madurai,2018,C-53186,750,450,300,447,747,0,0,0,300,447,747
 Sapthagiri Institute of Medical Sciences & Research Centre  Bangalore,2015,C-53296,750,463,0,0,0,0,0,0,0,0,0
 Sapthagiri Institute of Medical Sciences & Research Centre  Bangalore,2016,C-53296,750,476,59,87,146,0,0,0,59,87,146
 Sapthagiri Institute of Medical Sciences & Research Centre  Bangalore,2017,C-53296,750,491,54,81,135,0,0,0,54,81,135
 Sapthagiri Institute of Medical Sciences & Research Centre  Bangalore,2018,C-53296,750,493,390,660,1050,0,0,0,390,660,1050
 The Oxford Medical College  Hospital & Research Centre  Bangalore,2015,C-53597,750,450,71,79,150,0,0,0,71,79,150
 The Oxford Medical College  Hospital & Research Centre  Bangalore,2016,C-53597,750,450,0,0,0,0,0,0,0,0,0
 The Oxford Medical College  Hospital & Research Centre  Bangalore,2017,C-53597,750,450,131,168,299,0,0,0,131,168,299
 The Oxford Medical College  Hospital & Research Centre  Bangalore,2018,C-53597,750,450,201,248,449,0,0,0,201,248,449
 Government Medical College  Kota,2015,C-54352,400,467,82,67,149,0,0,0,82,67,149
 Government Medical College  Kota,2017,C-54352,600,618,424,323,747,0,0,0,424,323,747
 Government Medical College  Kota,2018,C-54352,650,746,429,319,748,0,0,0,429,319,748
 F.H. Medical College & Hospital  Etamdapur  Firozabad,2016,C-54870,750,450,201,99,300,0,0,0,201,99,300
 F.H. Medical College & Hospital  Etamdapur  Firozabad,2017,C-54870,750,450,222,141,363,0,0,0,222,141,363
 F.H. Medical College & Hospital  Etamdapur  Firozabad,2018,C-54870,750,450,300,214,514,0,0,0,300,214,514
 Regional Cancer Centre  Thiruvanthapuram,2016,C-55142,0,75,0,0,0,16,30,46,27,31,58
 Regional Cancer Centre  Thiruvanthapuram,2017,C-55142,0,78,0,0,0,16,33,49,24,35,59
 Regional Cancer Centre  Thiruvanthapuram,2018,C-55142,0,81,0,0,0,13,35,48,23,40,63
 DM Wayanad Institute of Medical Sciences  Wayanad  Kerala,2015,C-55143,200,0,90,210,300,0,0,0,90,210,300
 DM Wayanad Institute of Medical Sciences  Wayanad  Kerala,2016,C-55143,100,0,129,321,450,0,0,0,129,321,450
 DM Wayanad Institute of Medical Sciences  Wayanad  Kerala,2017,C-55143,0,0,188,412,600,0,0,0,188,412,600
 DM Wayanad Institute of Medical Sciences  Wayanad  Kerala,2018,C-55143,0,0,229,521,750,0,0,0,229,521,750
 P K Das Institute of Medical Sciences  Palakkad  Kerala,2016,C-55177,450,450,90,169,259,0,0,0,90,169,259
 P K Das Institute of Medical Sciences  Palakkad  Kerala,2017,C-55177,600,450,157,293,450,0,0,0,157,293,450
 P K Das Institute of Medical Sciences  Palakkad  Kerala,2018,C-55177,750,450,216,384,600,0,0,0,216,384,600
 Government Medical College  Painav  Idukki,2016,C-55343,200,0,32,68,100,0,0,0,32,68,100
 Government Medical College  Painav  Idukki,2017,C-55343,100,0,36,114,150,0,0,0,36,114,150
 Mount Zion Medical College  Chayalode  Ezhamkulam Adoor  Pathanamthitta,2016,C-55543,300,0,0,0,0,0,0,0,0,0,0
 Mount Zion Medical College  Chayalode  Ezhamkulam Adoor  Pathanamthitta,2018,C-55543,0,0,122,273,395,0,0,0,122,273,395
 Karwar Institute of Medical Sciences  Karwar,2017,C-55787,750,450,89,61,150,0,0,0,89,61,150
 Karwar Institute of Medical Sciences  Karwar,2018,C-55787,750,450,169,131,300,0,0,0,169,131,300
 Believers Church Medical College Hospital  Thiruvalla  Kerala,2018,C-55791,300,300,73,127,200,0,0,0,73,127,200
 Parul Institute of Medical Sciences & Research  Vadodara,2017,C-55827,750,450,81,69,150,0,0,0,81,69,150
 Parul Institute of Medical Sciences & Research  Vadodara,2018,C-55827,750,450,163,137,300,0,0,0,163,137,300
 H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital  Juhu  Mumbai,2017,C-55887,650,450,165,135,300,0,0,0,165,135,300
 H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital  Juhu  Mumbai,2018,C-55887,700,450,244,206,450,0,0,0,244,206,450
 Dr. Baba Saheb Ambedkar Medical College  Rohini  Delhi,2017,C-55888,500,300,62,36,98,0,0,0,62,36,98
 Dr. Baba Saheb Ambedkar Medical College  Rohini  Delhi,2018,C-55888,500,300,137,61,198,0,0,0,137,61,198
 Annaii Medical College and Hospital  Pennalur  Kanchipuram,2017,C-56084,450,150,52,94,146,0,0,0,52,94,146
 Annaii Medical College and Hospital  Pennalur  Kanchipuram,2018,C-56084,300,0,52,93,145,0,0,0,52,93,145
 Government Medical College  Omandurar,2017,C-56085,500,300,108,86,194,0,0,0,108,86,194
 Government Medical College  Omandurar,2018,C-56085,500,300,162,138,300,0,0,0,162,138,300
 Ponnaiyah Ramajayam Institute of Medical Sciences  Manamai-Nellur,2017,C-56095,0,0,0,0,0,0,0,0,0,0,0
 Ponnaiyah Ramajayam Institute of Medical Sciences  Manamai-Nellur,2018,C-56095,0,0,0,0,0,0,0,0,0,0,0
 Sridev Suman Subharti Medical College  Dehradun,2017,C-56397,750,450,65,85,150,0,0,0,65,85,150
 Employees State Insurance Corporation Medical College  Faridabad,2017,C-56398,600,300,109,88,197,0,0,0,109,88,197
 Employees State Insurance Corporation Medical College  Faridabad,2018,C-56398,550,300,178,120,298,0,0,0,178,120,298
 Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt  Srinagar  Pauri Garhwal,2017,C-56564,500,324,47,53,100,0,0,0,47,53,100
 Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt  Srinagar  Pauri Garhwal,2018,C-56564,500,324,47,53,100,0,0,0,47,53,100
 Akash Institute of Medical Sciences & Research Centre  Devanhalli  Bangalore  Karnataka,2017,C-56655,500,350,86,64,150,0,0,0,86,64,150
 Akash Institute of Medical Sciences & Research Centre  Devanhalli  Bangalore  Karnataka,2018,C-56655,600,450,145,155,300,0,0,0,145,155,300
 Kodagu Institute of Medical Sciences  Kodagu,2017,C-56696,750,450,79,71,150,0,0,0,84,72,156
 Kodagu Institute of Medical Sciences  Kodagu,2018,C-56696,750,450,162,137,299,0,0,0,200,190,390
 Doon Medical College  Dehradun  Uttarakhand,2017,C-56722,600,400,86,64,150,0,0,0,86,64,150
 Doon Medical College  Dehradun  Uttarakhand,2018,C-56722,650,450,38,138,176,0,0,0,38,138,176
 World College of Medical Sciences & Researc  Jhajjar  Haryana,2017,C-56802,0,0,83,67,150,0,0,0,83,67,150
 World College of Medical Sciences & Researc  Jhajjar  Haryana,2018,C-56802,0,0,83,65,148,0,0,0,83,65,148
 N.C. Medical College & Hospital  Panipat,2017,C-56803,300,100,70,80,150,0,0,0,70,80,150
 N.C. Medical College & Hospital  Panipat,2018,C-56803,200,0,70,80,150,0,0,0,70,80,150
 Employees State Insurance Corporation Medical College  Gulbarga,2017,C-56937,500,300,232,167,399,0,0,0,232,167,399
 Employees State Insurance Corporation Medical College  Gulbarga,2018,C-56937,500,300,280,218,498,0,0,0,280,218,498
 Nimra Institute of Medical Sciences  Krishna Dist.  A.P.,2017,C-57010,450,150,56,94,150,0,0,0,56,94,150
 Nimra Institute of Medical Sciences  Krishna Dist.  A.P.,2018,C-57010,300,0,60,90,150,0,0,0,60,90,150
 IQ-City Medical College  Burdwan,2017,C-57101,0,9,349,251,600,0,0,0,349,251,600
 IQ-City Medical College  Burdwan,2018,C-57101,0,30,369,381,750,0,0,0,369,381,750
 ICARE Institute of Medical Sciences & Research  Haldia  Purba Midanpore,2017,C-57119,500,308,224,176,400,0,0,0,224,176,400
 ICARE Institute of Medical Sciences & Research  Haldia  Purba Midanpore,2018,C-57119,500,316,255,209,464,1,0,1,256,209,465
 Raipur Institute of Medical Sciences (RIMS)  Raipur,2017,C-57221,150,50,57,93,150,0,0,0,57,93,150
 Raipur Institute of Medical Sciences (RIMS)  Raipur,2018,C-57221,100,0,57,92,149,0,0,0,57,92,149
 Malabar Medical College  Kozhikode Calicut,2018,C-57409,750,450,214,536,750,0,0,0,214,536,750
 Gadag Institute of Medical Sciences  Mallasamudra  Mulgund Road  Gadag,2018,C-57443,700,450,267,181,448,0,0,0,267,181,448
 Netaji Subhash Chandra Bose Medical College  Jabalpur,2017,C-57489,710,579,0,0,0,0,0,0,70,39,109
 Netaji Subhash Chandra Bose Medical College  Jabalpur,2018,C-57489,720,619,21,29,50,0,0,0,107,84,191
 GMERS Medical College  Vadnagar  Mehsana,2018,C-58068,750,450,90,60,150,0,0,0,90,60,150
 Government Medical College  Parippally  Kollam,2018,C-58110,200,200,46,54,100,0,0,0,46,54,100
 Government Medical College & ESIC Hospital  Coimbatore  TamilNadu,2018,C-58414,600,300,29,69,98,0,0,0,29,69,98
 East Point College of Medical Sciences & Research Centre  Bangalore,2018,C-58424,750,450,64,86,150,0,0,0,64,86,150
 Shri Lal Bahadur Shastri Government Medical College  Mandi  HP,2018,C-58468,500,300,41,59,100,0,0,0,41,59,100
 Employees State Insurance Coporation Medical College  Sanath Nagar  Hyderabad,2018,C-58477,500,300,59,141,200,0,0,0,59,141,200
 Viswabharathi Medical College  Kurnool,2018,C-58698,750,450,208,242,450,0,0,0,208,242,450
 Government Medical College  Nahan  Sirmour H.P.,2018,C-59010,300,300,79,91,170,0,0,0,79,91,170
 SVIMS - Sri Padmavathi Medical College for Women  Alipiri Road  Tirupati,2018,C-59062,750,450,48,746,794,47,61,108,150,834,984
 Sambhram Institute of Medical Sciences & Research  Kolar,2018,C-59261,300,0,60,87,147,0,0,0,60,87,147
 Adesh Medical College and Hospital  Shahabad  Kurukshetra  Haryana,2018,C-59564,750,450,72,78,150,0,0,0,72,78,150
 B J Medical College  Ahmedabad,2012,C-6051,1250,1176,123,127,250,435,256,691,598,413,1011
 B J Medical College  Ahmedabad,2013,C-6051,1250,1195,175,75,250,458,318,776,675,420,1095
 B J Medical College  Ahmedabad,2014,C-6051,1250,1293,167,83,250,497,307,804,706,415,1121
 B J Medical College  Ahmedabad,2015,C-6051,1250,1502,161,89,250,503,304,807,701,418,1119
 B J Medical College  Ahmedabad,2016,C-6051,1250,1702,1068,631,1699,540,313,853,1644,974,2618
 B J Medical College  Ahmedabad,2017,C-6051,1250,1839,1065,590,1655,572,322,894,1674,946,2620
 B J Medical College  Ahmedabad,2018,C-6051,1250,1873,1058,549,1607,509,318,827,1606,901,2507
 Smt. N.H.L.Municipal Medical College  Ahmedabad,2012,C-6108,0,474,86,64,150,139,55,194,225,119,344
 Smt. N.H.L.Municipal Medical College  Ahmedabad,2013,C-6108,0,474,343,235,578,366,204,570,709,439,1148
 Smt. N.H.L.Municipal Medical College  Ahmedabad,2014,C-6108,150,627,330,270,600,230,99,329,560,369,929
 Smt. N.H.L.Municipal Medical College  Ahmedabad,2015,C-6108,300,840,405,345,750,311,149,460,716,494,1210
 Smt. N.H.L.Municipal Medical College  Ahmedabad,2016,C-6108,450,1063,313,295,608,318,149,467,631,444,1075
 Smt. N.H.L.Municipal Medical College  Ahmedabad,2017,C-6108,600,1175,303,274,577,288,195,483,591,469,1060
 Smt. N.H.L.Municipal Medical College  Ahmedabad,2018,C-6108,850,1331,362,315,677,289,214,503,651,529,1180
 VP Chest Institute of Medical Sciences  Delhi,2012,C-6373,0,43,0,0,0,14,11,25,24,16,40
 VP Chest Institute of Medical Sciences  Delhi,2013,C-6373,0,45,0,0,0,12,10,22,23,15,38
 VP Chest Institute of Medical Sciences  Delhi,2014,C-6373,0,45,0,0,0,12,10,22,24,14,38
 VP Chest Institute of Medical Sciences  Delhi,2015,C-6373,0,46,0,0,0,15,7,22,27,10,37
 VP Chest Institute of Medical Sciences  Delhi,2016,C-6373,0,47,0,0,0,15,9,24,22,11,33
 VP Chest Institute of Medical Sciences  Delhi,2017,C-6373,0,48,0,0,0,14,9,23,16,9,25
 Maulana Azad Medical College  New Delhi,2012,C-6414,1250,1096,906,588,1494,210,216,426,1128,830,1958
 Maulana Azad Medical College  New Delhi,2013,C-6414,1250,1147,767,471,1238,212,192,404,994,687,1681
 Maulana Azad Medical College  New Delhi,2014,C-6414,1250,1210,795,513,1308,226,172,398,1041,706,1747
 Maulana Azad Medical College  New Delhi,2015,C-6414,1250,1263,826,551,1377,240,179,419,1090,750,1840
 Maulana Azad Medical College  New Delhi,2016,C-6414,1250,1316,902,575,1477,225,192,417,1150,788,1938
 Maulana Azad Medical College  New Delhi,2017,C-6414,1250,1365,902,575,1477,193,195,388,1106,788,1894
 University College of Medical Sciences & GTB Hospital  New Delhi,2012,C-6430,750,556,652,166,818,226,174,400,878,340,1218
 University College of Medical Sciences & GTB Hospital  New Delhi,2013,C-6430,750,564,594,149,743,201,173,374,816,322,1138
 University College of Medical Sciences & GTB Hospital  New Delhi,2014,C-6430,750,597,650,166,816,209,177,386,864,344,1208
 University College of Medical Sciences & GTB Hospital  New Delhi,2015,C-6430,750,723,634,146,780,211,160,371,850,307,1157
 University College of Medical Sciences & GTB Hospital  New Delhi,2016,C-6430,750,854,694,156,850,195,174,369,889,330,1219
 University College of Medical Sciences & GTB Hospital  New Delhi,2017,C-6430,750,975,673,158,831,183,169,352,856,327,1183
 University College of Medical Sciences & GTB Hospital  New Delhi,2018,C-6430,750,993,687,174,861,182,181,363,869,355,1224
 Sri Venkateswaraa Medical College  Hospital & Research Centre  Pondicherry,2013,C-6536,750,492,358,401,759,5,8,13,363,409,772
 Sri Venkateswaraa Medical College  Hospital & Research Centre  Pondicherry,2014,C-6536,750,525,361,388,749,7,16,23,368,404,772
 Sri Venkateswaraa Medical College  Hospital & Research Centre  Pondicherry,2015,C-6536,750,546,0,0,0,17,23,40,17,23,40
 Sri Venkateswaraa Medical College  Hospital & Research Centre  Pondicherry,2016,C-6536,750,571,352,398,750,22,21,43,374,419,793
 Sri Venkateswaraa Medical College  Hospital & Research Centre  Pondicherry,2017,C-6536,750,584,338,409,747,33,32,65,371,441,812
 Sri Venkateswaraa Medical College  Hospital & Research Centre  Pondicherry,2018,C-6536,750,588,339,408,747,34,39,73,373,447,820
 Pondicherry Institute of Medical Sciences & Research  Pondicherry,2012,C-6549,0,119,0,0,0,52,33,85,52,33,85
 Pondicherry Institute of Medical Sciences & Research  Pondicherry,2013,C-6549,100,229,230,270,500,72,40,112,302,310,612
 Pondicherry Institute of Medical Sciences & Research  Pondicherry,2014,C-6549,200,329,219,281,500,76,55,131,295,336,631
 Pondicherry Institute of Medical Sciences & Research  Pondicherry,2015,C-6549,300,429,243,276,519,70,54,124,313,330,643
 Pondicherry Institute of Medical Sciences & Research  Pondicherry,2016,C-6549,400,429,236,346,582,56,66,122,292,412,704
 Pondicherry Institute of Medical Sciences & Research  Pondicherry,2017,C-6549,550,479,0,0,0,52,55,107,52,55,107
 Pondicherry Institute of Medical Sciences & Research  Pondicherry,2018,C-6549,600,545,0,0,0,53,55,108,53,55,108
 Sri Manakula Vinayagar Medical College & Hospital  Pondicherry,2015,C-6550,750,630,72,78,150,25,13,38,97,91,188
 Sri Manakula Vinayagar Medical College & Hospital  Pondicherry,2016,C-6550,750,646,71,64,135,22,16,38,93,80,173
 Sri Manakula Vinayagar Medical College & Hospital  Pondicherry,2017,C-6550,750,664,68,82,150,29,26,55,97,108,205
 Sri Manakula Vinayagar Medical College & Hospital  Pondicherry,2018,C-6550,750,688,68,82,150,26,24,50,94,106,200
 Indira Gandhi Medical College & Research Institute  Puducherry,2012,C-6561,750,450,123,167,290,0,0,0,123,167,290
 Indira Gandhi Medical College & Research Institute  Puducherry,2013,C-6561,750,450,196,253,449,0,0,0,196,253,449
 Indira Gandhi Medical College & Research Institute  Puducherry,2014,C-6561,750,450,260,339,599,0,0,0,260,339,599
 Indira Gandhi Medical College & Research Institute  Puducherry,2015,C-6561,750,450,321,428,749,0,0,0,321,428,749
 Indira Gandhi Medical College & Research Institute  Puducherry,2016,C-6561,750,450,63,87,150,0,0,0,63,87,150
 Indira Gandhi Medical College & Research Institute  Puducherry,2017,C-6561,750,456,132,168,300,0,0,0,132,168,300
 Indira Gandhi Medical College & Research Institute  Puducherry,2018,C-6561,750,462,64,86,150,1,5,6,65,91,156
 Government Medical College  Surat,2012,C-690,750,627,522,418,940,154,73,227,688,501,1189
 Government Medical College  Surat,2013,C-690,750,634,361,353,714,180,68,248,554,433,987
 Government Medical College  Surat,2014,C-690,750,656,332,338,670,157,70,227,500,420,920
 Government Medical College  Surat,2015,C-690,750,716,381,353,734,152,75,227,547,439,986
 Government Medical College  Surat,2016,C-690,750,769,373,407,780,137,86,223,525,506,1031
 Government Medical College  Surat,2017,C-690,750,815,393,427,820,116,94,210,523,535,1058
 Government Medical College  Surat,2018,C-690,750,853,227,170,397,127,112,239,373,296,669
 Chettinad Hospital & Research Institute  Kanchipuram,2012,C-7049,750,502,240,408,648,49,52,101,291,461,752
 Chettinad Hospital & Research Institute  Kanchipuram,2013,C-7049,750,541,308,519,827,50,57,107,358,578,936
 Chettinad Hospital & Research Institute  Kanchipuram,2014,C-7049,750,578,391,635,1026,70,67,137,463,705,1168
 Chettinad Hospital & Research Institute  Kanchipuram,2015,C-7049,750,599,425,698,1123,78,84,162,503,787,1290
 Chettinad Hospital & Research Institute  Kanchipuram,2016,C-7049,750,608,439,775,1214,95,110,205,536,886,1422
 Chettinad Hospital & Research Institute  Kanchipuram,2017,C-7049,750,610,474,842,1316,100,125,225,574,977,1551
 Chettinad Hospital & Research Institute  Kanchipuram,2018,C-7049,750,624,518,925,1443,97,149,246,619,1087,1706
 Government Medical College  Bhavnagar,2012,C-7198,0,196,228,190,418,128,43,171,376,236,612
 Government Medical College  Bhavnagar,2013,C-7198,100,299,317,303,620,111,65,176,445,373,818
 Government Medical College  Bhavnagar,2014,C-7198,200,404,231,235,466,120,71,191,365,310,675
 Government Medical College  Bhavnagar,2015,C-7198,300,513,274,243,517,109,71,180,394,325,719
 Government Medical College  Bhavnagar,2016,C-7198,400,524,359,330,689,104,74,178,470,417,887
 Government Medical College  Bhavnagar,2017,C-7198,550,609,313,271,584,94,71,165,420,348,768
 Government Medical College  Bhavnagar,2018,C-7198,600,695,332,268,600,100,79,179,445,355,800
 Kasturba Medical College  Manipal,2012,C-7242,1250,1133,697,648,1345,314,260,574,1063,956,2019
 Kasturba Medical College  Manipal,2013,C-7242,1250,1141,680,662,1342,284,259,543,1015,975,1990
 Kasturba Medical College  Manipal,2014,C-7242,1250,1156,637,691,1328,312,257,569,1010,999,2009
 Kasturba Medical College  Manipal,2015,C-7242,1250,1190,641,703,1344,314,246,560,1021,994,2015
 Kasturba Medical College  Manipal,2016,C-7242,1250,1223,576,625,1201,306,252,558,963,913,1876
 Kasturba Medical College  Manipal,2017,C-7242,1250,1255,575,663,1238,272,266,538,932,991,1923
 Kasturba Medical College  Manipal,2018,C-7242,1250,1276,574,664,1238,224,217,441,853,931,1784
 Kasturba Medical College  Mangalore,2012,C-7251,1250,1085,632,726,1358,209,254,463,851,993,1844
 Kasturba Medical College  Mangalore,2013,C-7251,1250,1091,598,761,1359,219,223,442,834,993,1827
 Kasturba Medical College  Mangalore,2014,C-7251,1250,1096,605,786,1391,209,192,401,839,989,1828
 Kasturba Medical College  Mangalore,2015,C-7251,1250,1101,630,819,1449,188,186,374,843,1009,1852
 Kasturba Medical College  Mangalore,2016,C-7251,1250,1106,518,731,1249,179,188,367,710,926,1636
 Kasturba Medical College  Mangalore,2017,C-7251,1250,1110,676,1000,1676,166,204,370,850,1217,2067
 Kasturba Medical College  Mangalore,2018,C-7251,1250,1121,725,1036,1761,125,206,331,855,1253,2108
 MP Shah Medical College Jamnagar,2012,C-766,1000,803,680,375,1055,201,78,279,891,454,1345
 MP Shah Medical College Jamnagar,2013,C-766,1000,805,664,423,1087,208,86,294,889,513,1402
 MP Shah Medical College Jamnagar,2014,C-766,1000,801,558,369,927,207,108,315,783,485,1268
