State Id,OfficeName,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Credential
Type 2","Credential
Date 2","Exit
Reason","Exit
Date",Q0 -Wages at Exit,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code","Job
Order
No.",QTR1A Exit,QTR2A Exit,QTR3A Exit
9425,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),10/21/2019,12/2/2019,Successful Completion,Excel Automotive Institute,Automotive- Steering & Suspension,5,7/11/2019,,,Successful Completion Employed,2/6/2020,,2/6/2020,Crescent Hospitality Corporation,Alexandria,VA,Floor Houseperson,40,12.56,1,1,9,0,,,,,
520737,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/22/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,,,                              ,,,,,,,,,,,,,,,
506456,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/4/2020,5/19/2020,Unsuccessful Completion - Dropped Out,CC Prep - MLK,Help Desk IT Training,5,1/17/2020,,,,,,                              ,,,,,,,,,,,,,,,
160831,DC Infrastructure Academy,313,Enrolled In State And Local Training,10/23/2019,10/24/2019,Unsuccessful Completion - Failed to Report,The Training Zone of the DMV,OSHA 30,5,9/28/2019,,,,,,                              ,,,,,,,,,,,,,,,
179464,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/28/2021,,,,,,                              ,,,,,,,,,,,,,,,
153880,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/4/2020,5/22/2020,Unsuccessful Completion - Failed to Report,CC Prep - MLK,Help Desk IT Training,5,1/17/2020,,,,,,                              ,,,,,,,,,,,,,,,
431702,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/6/2020,1/30/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
487160,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
271426,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,,,                              ,,,,,,,,,,,,,,,
170784,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,,,                              ,,,,,,,,,,,,,,,
511383,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,,,                              ,,,,,,,,,,,,,,,
516590,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
519376,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
209820,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/21/2020,2/3/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,5,1/17/2020,,,,,,                              ,,,,,,,,,,,,,,,
509448,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/4/2020,7/23/2020,Successful Completion,CC Prep - MLK,Help Desk IT Training,5,7/26/2019,,,,,,                              ,,,,,,,,,,,,,,,
265011,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/8/2020,1/23/2020,Successful Completion,Hamel Builders Inc.,OSHA-10 & OSHA-30,5,1/23/2020,,,,,,                              ,,,,,,,,,,,,,,,
519869,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/10/2020,9/15/2020,Unsuccessful Completion - Dropped Out,University of the District of Columbia (UDC),Quick Path to Energy,,,,,,,,                              ,,,,,,,,,,,,,,,
510464,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/4/2020,7/23/2020,Successful Completion,CC Prep - MLK,Help Desk IT Training,5,7/26/2019,,,,,,                              ,,,,,,,,,,,,,,,
520029,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/10/2020,9/29/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,9/30/2020,,,,,,                              ,,,,,,,,,,,,,,,
146826,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,6,5/26/2021,5,5/28/2021,,,,                              ,,,,,,,,,,,,,,,
174088,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/6/2020,1/30/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
203732,DC Infrastructure Academy,313,Enrolled In State And Local Training,10/23/2019,10/24/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,10/24/2019,,,Successful Completion Employed,4/17/2020,,7/6/2020,Pepco Holdings Inc,Washington,DC,Substation Operations Trainee,40,21.75,1,1,9,0,551112,,,,
173055,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,5/15/2020,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,9/4/2019,,,Successful Completion Employed,7/7/2020,,7/7/2020,Utility Lines Construction,White Marsh,MD,Apprentice 1,40,18,1,1,9,0,238210,,,,
421552,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/21/2020,2/3/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,5,7/26/2019,,,,,,                              ,,,,,,,,,,,,,,,
515347,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,,,                              ,,,,,,,,,,,,,,,
96044,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,,,                              ,,,,,,,,,,,,,,,
463647,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/22/2020,7/23/2020,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,,,                              ,,,,,,,,,,,,,,,
510785,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/21/2020,2/3/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,5,7/26/2019,,,,,,                              ,,,,,,,,,,,,,,,
504499,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/30/2020,9/30/2020,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/30/2020,,,,,,                              ,,,,,,,,,,,,,,,
304596,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/1/2020,8/21/2020,Successful Completion,"CNI, LLC",Washington Gas Training Program,5,6/26/2020,,,,,,                              ,,,,,,,,,,,,,,,
406918,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/31/2020,9/4/2020,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/4/2020,,,,,,                              ,,,,,,,,,,,,,,,
113703,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/31/2020,9/4/2020,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/4/2020,,,,,,                              ,,,,,,,,,,,,,,,
507339,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,5,5/28/2021,,,,                              ,,,,,,,,,,,,,,,
513658,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,,,                              ,,,,,,,,,,,,,,,
94429,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/10/2020,9/29/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,Successful Completion Employed,1/6/2021,,1/4/2021,Aldridge Electric Inc,Cheverly,MD,Groundman,40,19.92,1,1,9,0,,,,,
539454,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,5,5/28/2021,,,,                              ,,,,,,,,,,,,,,,
519090,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
362251,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,5,8/16/2019,,,,,,                              ,,,,,,,,,,,,,,,
175750,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
514833,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,5/15/2020,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
173055,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/6/2020,1/30/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,9/4/2019,,,Successful Completion Employed,7/7/2020,,7/7/2020,Utility Lines Construction,White Marsh,MD,Apprentice 1,40,18,1,1,9,0,238210,,,,
174064,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,5,1/23/2020,,,,,,                              ,,,,,,,,,,,,,,,
352109,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/1/2020,6/11/2020,Unsuccessful Completion - Dropped Out,"CNI, LLC",Washington Gas Training Program,,,,,,,,                              ,,,,,,,,,,,,,,,
419076,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
127847,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/4/2020,7/23/2020,Successful Completion,CC Prep - MLK,Help Desk IT Training,5,7/26/2019,,,,,,                              ,,,,,,,,,,,,,,,
631554,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,5,5/28/2021,,,,                              ,,,,,,,,,,,,,,,
47850,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/14/2020,9/18/2020,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/18/2020,,,,,,                              ,,,,,,,,,,,,,,,
507339,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,6,5/26/2021,5,5/28/2021,,,,                              ,,,,,,,,,,,,,,,
515788,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,5/15/2020,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,12/20/2019,,,Successful Completion Employed,7/13/2020,,7/13/2020,Pepco Holdings Inc,Washington,DC,Helper Transformer Tester,40,22.69,1,1,9,0,551112,,,,
515000,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
509288,DC Infrastructure Academy,313,Enrolled In State And Local Training,10/23/2019,10/24/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/28/2019,,,Unknown Status,9/10/2020,,                              ,,,,,,,,,,,,,,,
113375,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,5/15/2020,Unsuccessful Completion - Did Not Meet Requirement,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
95284,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/6/2020,1/30/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
386616,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/6/2020,1/30/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
465753,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),10/21/2019,12/2/2019,Successful Completion,Excel Automotive Institute,Automotive- Steering & Suspension,5,7/3/2019,,,,,,                              ,,,,,,,,,,,,,,,
482703,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,5/15/2020,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,5/3/2019,,,Successful Completion Employed,9/11/2020,,8/31/2020,Pepco Holdings Inc,Washington,DC,Helper Transformer Tester,40,22.69,1,1,9,0,551112,,,,
513534,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
13269,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/23/2020,8/21/2020,Successful Completion,"CNI, LLC",Washington Gas Training Program,5,8/21/2020,,,,,,                              ,,,,,,,,,,,,,,,
516267,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,6/30/2020,Unsuccessful Completion - Did Not Meet Requirement,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
451241,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/31/2020,9/4/2020,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/4/2020,,,,,,                              ,,,,,,,,,,,,,,,
311751,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/8/2020,1/23/2020,Successful Completion,Hamel Builders Inc.,OSHA-10 & OSHA-30,5,1/23/2020,,,,,,                              ,,,,,,,,,,,,,,,
520030,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/1/2020,6/29/2020,Unsuccessful Completion - Failed to Report,"CNI, LLC",Washington Gas Training Program,,,,,,,,                              ,,,,,,,,,,,,,,,
42332,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/6/2020,1/22/2020,Unsuccessful Completion - Failed to Report,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
513167,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/8/2020,1/23/2020,Successful Completion,Hamel Builders Inc.,OSHA-10 & OSHA-30,5,1/23/2020,,,,,,                              ,,,,,,,,,,,,,,,
278379,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Unsuccessful Completion - Did Not Meet Requirement,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
514499,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
507084,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,5/15/2020,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
165492,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,,,,,,                              ,,,,,,,,,,,,,,,
96044,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
462004,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/1/2020,8/21/2020,Successful Completion,"CNI, LLC",Washington Gas Training Program,5,6/17/2020,,,,,,                              ,,,,,,,,,,,,,,,
78057,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/6/2020,1/30/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,8/16/2019,,,,,,                              ,,,,,,,,,,,,,,,
391406,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/10/2020,9/29/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,9/30/2020,,,Successful Completion Employed,12/1/2020,,12/1/2020,Utility Lines Construction,Bridgeville,DE,1st Level Apprentice,40,18,1,1,9,0,238210,,,,
330589,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
507146,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/4/2020,7/23/2020,Successful Completion,CC Prep - MLK,Help Desk IT Training,5,1/17/2020,,,,,,                              ,,,,,,,,,,,,,,,
170784,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
631855,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/28/2021,,,,,,                              ,,,,,,,,,,,,,,,
214801,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/6/2020,1/30/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
413028,DC Infrastructure Academy,313,Enrolled In State And Local Training,10/23/2019,10/24/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,6,9/11/2019,5,10/24/2019,Successful Completion Employed,12/18/2019,,4/1/2019,DC Department of Behavioral Health,Washington,DC,Behavioral Health Tech,40,40,1,1,9,0,923120,,,,
184180,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/4/2020,7/23/2020,Successful Completion,CC Prep - MLK,Help Desk IT Training,5,1/17/2020,,,,,,                              ,,,,,,,,,,,,,,,
99916,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,5/26/2021,,,,,,                              ,,,,,,,,,,,,,,,
631855,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,5/28/2021,,,,,,                              ,,,,,,,,,,,,,,,
509448,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/21/2020,2/3/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,5,7/26/2019,,,,,,                              ,,,,,,,,,,,,,,,
129640,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
177427,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
291914,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/10/2020,9/29/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,Successful Completion Employed,11/30/2020,,11/30/2020,Dynamic Concepts Inc.,Washington,DC,Construction Laborer,40,19,1,1,9,0,541618,,,,
480062,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/31/2020,9/4/2020,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/4/2020,,,,,,                              ,,,,,,,,,,,,,,,
266623,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/8/2020,1/23/2020,Successful Completion,Hamel Builders Inc.,OSHA-10 & OSHA-30,5,1/23/2020,,,,,,                              ,,,,,,,,,,,,,,,
156114,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/1/2020,6/8/2020,Unsuccessful Completion - Failed to Report,"CNI, LLC",Washington Gas Training Program,,,,,,,,                              ,,,,,,,,,,,,,,,
153880,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/21/2020,2/3/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,5,1/17/2020,,,,,,                              ,,,,,,,,,,,,,,,
199983,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,3/9/2020,Unsuccessful Completion - Dropped Out,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
518683,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/31/2020,9/4/2020,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/4/2020,,,,,,                              ,,,,,,,,,,,,,,,
414542,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/1/2020,8/21/2020,Successful Completion,"CNI, LLC",Washington Gas Training Program,5,6/17/2020,,,,,,                              ,,,,,,,,,,,,,,,
113375,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/7/2020,1/30/2020,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
510464,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/21/2020,2/3/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,5,7/26/2019,,,,,,                              ,,,,,,,,,,,,,,,
519376,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,,,                              ,,,,,,,,,,,,,,,
214801,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,5/15/2020,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,12/20/2019,,,,,,                              ,,,,,,,,,,,,,,,
144020,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/8/2020,1/23/2020,Successful Completion,Hamel Builders Inc.,OSHA-10 & OSHA-30,5,1/23/2020,,,,,,                              ,,,,,,,,,,,,,,,
180916,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/21/2020,9/25/2020,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/25/2020,,,,,,                              ,,,,,,,,,,,,,,,
569693,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,5/28/2021,,,,,,                              ,,,,,,,,,,,,,,,
335134,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/20/2020,7/10/2020,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,,,                              ,,,,,,,,,,,,,,,
165492,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/14/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,6,5/26/2021,,,,,,                              ,,,,,,,,,,,,,,,
407175,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/10/2020,8/28/2020,Unsuccessful Completion - Failed to Report,University of the District of Columbia (UDC),Quick Path to Energy,5,6/21/2019,,,,,,                              ,,,,,,,,,,,,,,,
186158,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2020,5/15/2020,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,12/20/2019,,,Successful Completion Employed,7/13/2020,,7/13/2020,Pepco Holdings Inc,Washington,DC,Helper Meter Technician,40,21.75,1,1,9,0,551112,,,,
247769,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/10/2020,8/21/2020,Unsuccessful Completion - Failed to Report,University of the District of Columbia (UDC),Quick Path to Energy,,,,,,,,                              ,,,,,,,,,,,,,,,
47090,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/10/2020,5/22/2020,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,4,5/22/2020,,,,,,                              ,,,,,,,,,,,,,,,
513534,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/2/2020,3/12/2020,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,,,                              ,,,,,,,,,,,,,,,
66442,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/26/2021,,,,,,                              ,,,,,,,,,,,,,,,
